-la|-la||||||
a|a2|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,3,Sing,MWEs
abatent|abatent1|abatre|ABATTUERE||VERB||Fin,Sub,Pres,Act,Trans,3,Plur
abitee|abitee|abiter|HABITARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
abondance|abondance|abondance|ABUNDANTIA||NOUN||Fem,Sing
aconpaignier|aconpaignier|acompagnier|COMPANIO||VERB||Ind,Inf,Pres,Act,Trans
acousta|acousta|acoster|COSTA||VERB||Fin,Ind,Past,Rfl,3,Sing
acoustés|acoustés|acoster|COSTA||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
adonc|adonc|adonc|DUNC||ADV||
adonques|adonques|adonc|DUNC||ADV||
adornés|adornés|aorner1|ADORDINARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
afer|afer|afaire|FACERE||NOUN||Masc,Sing,Nom
agamenon|agamenon1|Agamemnon|||PROPN||Masc,Sing,Acc
ahornement|ahornement1|aornement|ADORNARE||NOUN||Masc,Plur,Acc
ahornés|ahornés2|aorner2|ADORNARE||VERB|Adj|Ind,Part,Past,Plur,Masc
ahornés|ahornés3|aorner2|ADORNARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
ai|ai1|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,1,Sing,MWEs
aime|aime|amer1|AMARE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing
ains|ains|ainz|ANTE||ADV||
air|air1|air1|AER||NOUN||Masc,Sing,Nom
aisieement|aisieement|aisement|ADJACENS||ADV||Man
ala|ala|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Intr,3,Sing
ala|ala1|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Rfl,3,Sing
alant|alant|aler (GDC)|AMBULARE||VERB||Ind,Ger,Pres,Intr
alast|alast|aler (GDC)|AMBULARE||VERB||Fin,Sub,Imp,Intr,3,Sing
alegresse|alegresse|halegrece|ALACER||NOUN||Fem,Sing
aleigre|aleigre2|haliegre|ALACER||ADJ||Masc,Plur,Nom
aleigre|aleigre4|haliegre|ALACER||ADJ||Fem,Sing
aler|aler|aler (GDC)|AMBULARE||VERB||Ind,Inf,Pres,Intr
alerent|alerent|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Intr,3,Plur
alerent|alerent1|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Rfl,3,Plur
aloient|aloient|aler (GDC)|AMBULARE||VERB||Fin,Ind,Imp,Intr,3,Plur
aloit|aloit|aler (GDC)|AMBULARE||VERB||Fin,Ind,Imp,Intr,3,Sing
alumoient|alumoient|alumer|*ALLUMINARE||VERB||Fin,Ind,Imp,Intr,3,Plur
alés|alés6|aler (GDC)|AMBULARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
amenee|amenee|amener|MINARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
amenés|amenés|amener|MINARE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
amerai|amerai|amer1|AMARE||VERB||Fin,Ind,Fut,Act,Trans,1,Sing
ami|ami|ami|AMICUS||NOUN||Masc,Sing,Nom
amis|amis2|ami|AMICUS||NOUN||Masc,Plur,Nom
amis|amis3|ami|AMICUS||NOUN||Masc,Plur,Acc
amoit|amoit|amer1|AMARE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
amont|amont|amont|MONS||ADV||Loc
amor|amor2|amor|AMOR||NOUN||Masc,Sing,Acc
amors|amors|amor|AMOR||NOUN||Masc,Sing,Nom
ancres|ancres|ancre|ANCORA||NOUN||Fem,Plur
ans|ans1|an|ANNUS||NOUN||Masc,Plur,Acc
ansien|ansien|anciien|ANTE||ADJ||Masc,Sing,Nom
ante|ante|ante|AMITA||NOUN||Fem,Sing
aparoillasent|aparoillasent|apareillier1|*APPARICULARE||VERB||Fin,Sub,Imp,Act,Trans,3,Plur
aparoillier|aparoillier1|apareillier1|*APPARICULARE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
aparoillés|aparoillés1|apareillier1|*APPARICULARE||VERB||Ind,Part,Past,Plur,Masc
aparoillés|aparoillés7|apareillier1|*APPARICULARE||VERB|Adj|Ind,Part,Past,Plur,Masc
apellee|apellee|apeler|APPELLARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
apellés|apellés|apeler|APELLARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
apollo|apollo|Apollon|||PROPN||Masc,Sing,Acc
apollus|apollus1|Pollux|||PROPN||Masc,Sing,Acc
aproche|aproche|aprochier|APPROPIARE||VERB||Fin,Ind,Pres,Rfl,3,Sing
aprochier|aprochier|aprochier|APPROPIARE||VERB||Ind,Inf,Pres,Rfl
aprés|aprés|après|AD PRESSUM||ADP||
aprés|aprés1|après|AD PRESSUM||ADV||Tim
ardis|ardis1|hardi|*HARDJAN||ADJ||Masc,Plur,Nom
ardoient|ardoient|ardre|ARDERE||VERB||Fin,Ind,Imp,Intr,3,Plur
ardoir|ardoir|ardre|ARDERE||VERB||Ind,Inf,Pres,Act,Trans
argent|argent|argent|ARGENTUM||NOUN||Masc,Sing,Acc
ariva|ariva|ariver|*ARRIPARE||VERB||Fin,Ind,Past,Intr,3,Sing
arivee|arivee|ariver|*ARRIPARE||VERB||Ind,Part,Past,Sing,Fem
ariverent|ariverent|ariver|*ARRIPARE||VERB||Fin,Ind,Past,Intr,3,Plur
arivés|arivés2|ariver|*ARRIPARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
arivés|arivés3|ariver|*ARRIPARE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
arivéz|arivéz|ariver|*ARRIPARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
armassent|armassent|armer|ARMARE||VERB||Fin,Sub,Imp,Rfl,3,Plur
armerent|armerent|armer|ARMARE||VERB||Fin,Ind,Past,Rfl,3,Plur
armes|armes|arme|ARMA||NOUN||Fem,Plur
armés|armés|armer|ARMARE||VERB|Adj|Ind,Part,Past,Plur,Masc
armés|armés2|armer|ARMARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
as|as|a3|AD||ADP||PrepArt
asailli|asailli|assalir|*ASSALIRE||VERB||Ind,Inf,Pres,Act,Trans
asaillir|asaillir|assalir|*ASSALIRE||VERB||Ind,Inf,Pres,Act,Trans
asaillis|asaillis|assalir|*ASSALIRE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
asaillis|asaillis1|assalir|*ASSALIRE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
asaudrons|asaudrons|assalir|*ASSALIRE||VERB||Fin,Ind,Fut,Act,Trans,1,Plur
asemblees|asemblees|assembler|ASSIMULARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
asés|asés|assez|AD SATIS||ADV||
asés_de|asés_de||||||
atalenta|atalenta|atalenter|TALENTUM||VERB||Fin,Ind,Past,Intr,3,Sing
atendon|atendon|Atenedon|||PROPN||Masc,Sing,Acc
atenedon|atenedon|Atenedon|||PROPN||Masc,Sing,Nom
atenedon|atenedon1|Atenedon|||PROPN||Masc,Sing,Acc
atornés|atornés1|atorner|TORNARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
atornés|atornés2|atorner|TORNARE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
au|au|a3|AD||ADP||PrepArt
ausi|ausi|aussi|SIC||ADV||
ausi_com|ausi_com|aussi|SIC||ADV|Adv|MWEs
aussi|aussi|aussi|SIC||ADV||
aut|aut2|haut|ALTUS||ADJ||Masc,Plur,Nom
aute|aute|haut|ALTUS||ADJ||Fem,Sing
