forma|forma|lemma|etimo|pr.,XII|VERB|Adp|Ind,Part,Past,Act,Intr,1|g,v
forma|formakey|lemma|etimo|fr.a.,XII|VERB|Adp|Fin,Ind,Past,Pass,Intr|g,v
lillo|lillo|NO|bbb|fr.m.,XIV|VERB|Adp|Fin,Imp,Past,Act|g,p
pippo|pippo|lemma|etimo|angl.,XIV|VERB|Adv|Fin,Inf,Imp,Act,1|v,g
pippo|pippo1|NO|etimo|angl.,XIV|PRON|CConj|Rel,3,Fem|g
pippo|pippo1|lemma|etimo|fr.it.,XIV|PROPN|Adp|Masc,Plur,Acc|g,v
qui|qui|qui|QUI||PRON||Rel,Nom|g,v,p
tenebra|tenebra|uauau|auaua|fr.it.,XIV|PRON|Adp|Rel,3,Masc|g,v
a|a|avoir|HABERE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing|g,p,v
a|a1|avoir|HABERE||VERB||Fin,Ind,Pres,Intr,3,Sing|g,p,v
a|a2|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,3,Sing,MWEs|g,p,v
aasier|aasier|aaisier|ADJACENS||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
abandona|abandona|abandoner|*BAN||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
abandonance|abandonance|abondance|ABUNDANTIA||NOUN||Fem,Sing|g,p,v
abandonee|abandonee|abandoner|*BAN||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
abandoneement|abandoneement|abandoneement|*BAN||ADV||Man|g,p,v
abandonner|abandonner|abandoner|*BAN||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
achater|achater|achater|*ACCAPTARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
achever|achever|achever|CAPUT||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
acier|acier1|acier|ACIARIUM||NOUN||Masc,Sing,Acc|g,p,v
acoilli|acoilli|acoillir|*ACCOLLIGERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
acollee|acollee|acoler|COLLUM||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
aconplies|aconplies|acomplir|COMPLERE||VERB|compTens|Ind,Part,Past,Plur,Fem,MWEs|g,p,v
aconplir|aconplir|acomplir|COMPLERE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
aconplis|aconplis|acomplir|COMPLERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
aconplis|aconplis1|acomplir|COMPLERE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
aconta|aconta|aconter|COMPUTARE||VERB||Fin,Ind,Past,Rfl,3,Sing|g,p,v
acontast|acontast|aconter|COMPUTARE||VERB||Fin,Sub,Imp,Rfl,3,Sing|g,p,v
acontés|acontés|aconter|COMPUTARE||VERB||Fin,Ind,Pres,Rfl,2,Plur|g,p,v
acoula|acoula|acoler|COLLUM||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
acoullerent|acoullerent|acoler|COLLUM||VERB||Fin,Ind,Past,Rfl,3,Plur|g,p,v
acreïsiment|acreïsiment1|acroissement|CRESCERE||NOUN||Masc,Sing,Acc|g,p,v
adonc|adonc|adonc|DUNC||ADV|||g,p,v
adoubés|adoubés|adober|DUBBAN||VERB||Ind,Part,Past,Sing,Masc|g,p,v
afer|afer|afaire|FACERE||NOUN||Masc,Sing,Nom|g,p,v
afer|afer1|afaire|FACERE||NOUN||Masc,Sing,Acc|g,p,v
afi|afi|afier|*FIDARE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing|g,p,v
afier|afier|afier|*FIDARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
afubla|afubla|afubler|*AFFIBULARE||VERB||Fin,Ind,Past,Rfl,3,Sing|g,p,v
agusiéz|agusiéz|aguisier|*ACUTIARE||VERB|Adj|Ind,Part,Past,Sing,Masc|g,p,v
ahornee|ahornee|aorner2|ADORNARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
ai|ai|avoir|HABERE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing|g,p,v
ai|ai1|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,1,Sing,MWEs|g,p,v
aies|aies1|avoir|HABERE||VERB|auxTens|Fin,Sub,Pres,2,Sing,MWEs|g,p,v
aigue|aigue|aigue|AQUA||NOUN||Fem,Sing|g,p,v
aille|aille|aler (GDC)|AMBULARE||VERB||Fin,Sub,Pres,Intr,3,Sing|g,p,v
aillent|aillent|aler (GDC)|AMBULARE||VERB||Fin,Sub,Pres,Intr,3,Plur|g,p,v
aim|aim|amer1|AMARE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing|g,p,v
aime|aime|amer1|AMARE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing|g,p,v
aime|aime1|amer1|AMARE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing|g,p,v
ains|ains|ainz|ANTE||ADV|||g,p,v
ains_qe|ains_qe|ainz|ANTE||ADV|SConj |MWEs|g,p,v
ainsois_qe|ainsois_qe|ainçois|ANTE||ADV|SConj |MWEs|g,p,v
ais|ais|ainz|ANTE||ADV|||g,p,v
ais|ais2|aise|ADJACENS||NOUN||Masc,Sing,Acc|g,p,v
ais|ais4|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,2,Sing,MWEs|g,p,v
ait|ait|avoir|HABERE||VERB||Fin,Sub,Pres,Act,Trans,3,Sing|g,p,v
ajorner|ajorner|ajorner|DIURNUM||VERB|Noun|Ind,Inf,Pres|g,p,v
ala|ala|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Intr,3,Sing|g,p,v
ala|ala1|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Rfl,3,Sing|g,p,v
ala|ala2|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Past,3,Sing|g,p,v
alassent|alassent2|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Sub,Imp,3,Sing|g,p,v
alasses|alasses|aler (GDC)|AMBULARE||VERB||Fin,Sub,Imp,Intr,2,Sing|g,p,v
alast|alast|aler (GDC)|AMBULARE||VERB||Fin,Sub,Imp,Intr,3,Sing|g,p,v
alee|alee|aler (GDC)|AMBULARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
alegre|alegre3|haliegre|ALACER||ADJ||Fem,Sing|g,p,v
aleigre|aleigre|haliegre|ALACER||ADJ||Masc,Sing,Nom|g,p,v
aler|aler|aler (GDC)|AMBULARE||VERB||Ind,Inf,Pres,Intr|g,p,v
aler|aler1|aler (GDC)|AMBULARE||VERB|auxMod|Ind,Inf,Pres|g,p,v
aler|aler2|aler (GDC)|AMBULARE||VERB|Noun|Ind,Inf,Pres|g,p,v
alerent|alerent1|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Rfl,3,Plur|g,p,v
aleüre|aleüre|alëure|AMBULARE||NOUN||Fem,Sing|g,p,v
alixandre|alixandre|Alisandre|||PROPN||Masc,Sing,Nom|g,p,v
aloient|aloient|aler (GDC)|AMBULARE||VERB||Fin,Ind,Imp,Intr,3,Plur|g,p,v
aloient|aloient3|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Imp,3,Plur|g,p,v
aloit|aloit2|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Imp,3,Sing|g,p,v
alumés|alumés|alumer|*ALLUMINARE||VERB|Adj|Ind,Part,Past,Plur,Masc|g,p,v
alés|alés2|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Pres,2,Plur|g,p,v
alés|alés3|aler (GDC)|AMBULARE||VERB||Fin,Imp,Pres,Intr,2,Plur|g,p,v
alés|alés5|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Imp,Pres,2,Plur|g,p,v
alés|alés7|aler (GDC)|AMBULARE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
aléz|aléz|aler (GDC)|AMBULARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
alïés|alïés|aler (GDC)|AMBULARE||VERB||Fin,Sub,Pres,Rfl,2,Plur|g,p,v
amanz|amanz|amer1|AMARE||VERB|Noun|Ind,Part,Pres|g,p,v
amast|amast|amer1|AMARE||VERB||Fin,Sub,Imp,Act,Trans,3,Sing|g,p,v
amer|amer|amer1|AMARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
amie|amie|ami|AMICUS||NOUN||Fem,Sing|g,p,v
amis|amis|ami|AMICUS||NOUN||Masc,Sing,Nom|g,p,v
amoit|amoit|amer1|AMARE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing|g,p,v
amor|amor|amor|AMOR||NOUN||Fem,Sing|g,p,v
amor|amor1|amor|AMOR||NOUN||Masc,Sing,Nom|g,p,v
amor|amor2|amor|AMOR||NOUN||Masc,Sing,Acc|g,p,v
amés|amés|amer1|AMARE||VERB||Fin,Ind,Pres,Act,Trans,2,Plur|g,p,v
amés|amés2|amer1|AMARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
anel|anel|anel|ANELLUS||NOUN||Masc,Sing,Nom|g,p,v
anel|anel1|anel|ANELLUS||NOUN||Masc,Sing,Acc|g,p,v
ans|ans|an|ANNUS||NOUN||Masc,Plur,Nom|g,p,v
ansois_q’|ansois_q’|ainçois|ANTE||ADV|SConj |MWEs|g,p,v
aornee|aornee|aorner2|ADORNARE||VERB|Adj|Ind,Part,Past,Sing,Fem|g,p,v
aparir|aparir|aparoir|APPARERE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
aparoil|aparoil|apareil|*APPARICULARE||NOUN||Masc,Sing,Nom|g,p,v
aparoilla|aparoilla|apareillier1|*APPARICULARE||VERB||Fin,Ind,Past,Rfl,3,Sing|g,p,v
aparoillee|aparoillee|apareillier1|*APPARICULARE||VERB||Ind,Part,Past,Sing,Fem|g,p,v
aparoillee|aparoillee6|apareillier1|*APPARICULARE||VERB|Adj|Ind,Part,Past,Sing,Fem|g,p,v
aparoiller|aparoiller|apareillier1|*APPARICULARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
aparoilliee|aparoilliee|apareillier1|*APPARICULARE||VERB||Ind,Part,Past,Sing,Fem|g,p,v
aparoilliee|aparoilliee1|apareillier1|*APPARICULARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
aparoillier|aparoillier|apareillier1|*APPARICULARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
aparoillé|aparoillé|apareillier1|*APPARICULARE||VERB|Adj|Ind,Part,Past,Sing,Masc|g,p,v
aparoillés|aparoillés|apareillier1|*APPARICULARE||VERB||Ind,Part,Past,Sing,Masc|g,p,v
aparoillés|aparoillés4|apareillier1|*APPARICULARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
aparoillés|aparoillés6|apareillier1|*APPARICULARE||VERB|Adj|Ind,Part,Past,Sing,Masc|g,p,v
apartient|apartient|apartenir|APPERTINERE||VERB||Fin,Ind,Pres,Intr,3,Sing|g,p,v
apella|apella|apeler|APPELLARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
apellee|apellee|apeler|APPELLARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
apensee|apensee|apenser|PENSARE||VERB|Adj|Ind,Part,Past,Sing,Fem|g,p,v
aperceüs|aperceüs|apercevoir|PERCIPERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
apertement|apertement|apertement|APERIRE||ADV||Man|g,p,v
aport|aport|aporter|APPORTARE||VERB||Fin,Sub,Pres,Act,Trans,3,Sing|g,p,v
aporta|aporta|aporter|APPORTARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
aportoit|aportoit|aporter|APPORTARE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing|g,p,v
aportés|aportés1|aporter|APPORTARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
apparoillee|apparoillee|apareillier1|*APPARICULARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
apresera|apresera|apresser|*PRESSARE||VERB||Fin,Ind,Fut,Intr,3,Sing|g,p,v
aprochast|aprochast|aprochier|APPROPIARE||VERB||Fin,Sub,Imp,Rfl,3,Sing|g,p,v
aprés|aprés|après|AD PRESSUM||ADP|||g,p,v
aprés|aprés1|après|AD PRESSUM||ADV||Tim|g,p,v
aprés_se_q’|aprés_se_q’|après|AD PRESSUM||ADV|SConj |Tim,MWEs|g,p,v
ardant|ardant|ardre|ARDERE||VERB|Adj|Ind,Part,Pres|g,p,v
ardist|ardist|ardre|ARDERE||VERB||Fin,Sub,Imp,Intr,3,Sing|g,p,v
aree|aree|arer|ARARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
arer|arer|arer|ARARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
areste|areste|arester|ARRESTARE||VERB||Ind,Imp,Pres,Rfl,2,Sing|g,p,v
arestee|arestee|arester|ARRESTARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
argent|argent|argent|ARGENTUM||NOUN||Masc,Sing,Acc|g,p,v
argon|argon|Argon|||PROPN||Fem,Sing|g,p,v
argus|argus|Argus|||PROPN||Masc,Sing,Nom|g,p,v
argus|argus1|Argus|||PROPN||Masc,Sing,Acc|g,p,v
arieres|arieres|ariere|AD RETRO||ADV||Loc|g,p,v
arisier|arisier|arecier|*ARRECTIARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
ariva|ariva|ariver|*ARRIPARE||VERB||Fin,Ind,Past,Intr,3,Sing|g,p,v
arivames|arivames|ariver|*ARRIPARE||VERB||Fin,Sub,Imp,Intr,1,Plur|g,p,v
arivassent|arivassent|ariver|*ARRIPARE||VERB||Fin,Sub,Imp,Intr,3,Plur|g,p,v
ariverent|ariverent|ariver|*ARRIPARE||VERB||Fin,Ind,Past,Intr,3,Plur|g,p,v
ariverons|ariverons|ariver|*ARRIPARE||VERB||Fin,Ind,Fut,Intr,1,Plur|g,p,v
arivés|arivés3|ariver|*ARRIPARE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
arma|arma|armer|ARMARE||VERB||Fin,Ind,Past,Rfl,3,Sing|g,p,v
armer|armer|armer|ARMARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
armes|armes|arme|ARMA||NOUN||Fem,Plur|g,p,v
armeüres|armeüres|armëure|ARMATURA||NOUN||Fem,Sing|g,p,v
armés|armés|armer|ARMARE||VERB|Adj|Ind,Part,Past,Plur,Masc|g,p,v
ars|ars|art|ARS||NOUN||Fem,Plur|g,p,v
ars|ars1|ardre|ARDERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
artefiéz|artefiéz|artifier (GD)|ARS||VERB||Ind,Part,Past,Plur,Masc|g,p,v
as|as|a3|AD||ADP||PrepArt|g,p,v
as|as2|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,2,Sing,MWEs|g,p,v
asaiés|asaiés|essaiier|EXAGIUM||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
asaudra|asaudra|assalir|*ASSALIRE||VERB||Fin,Ind,Fut,Act,Trans,3,Sing|g,p,v
asauta|asauta|assauter|*ASSALTUS||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
asavoir|asavoir|savoir|SAPERE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
ascondiroit|ascondiroit|esondire|*EXCONDICERE||VERB||Fin,Cnd,Pres,Act,Trans,3,Sing|g,p,v
asenblees|asenblees|assembler|ASSIMULARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
asenbler|asenbler|assembler|ASSIMULARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
asenés|asenés|assener|SINNO-||VERB||Fin,Ind,Pres,Intr,2,Plur|g,p,v
aseüree|aseüree|assëurer|*ASSECURARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
asimee|asimee|acesmer|*ACCISMARE||VERB|Adj|Ind,Part,Past,Sing,Fem|g,p,v
asis|asis|asseoir (TLF)|SEDERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
