coment|coment
li|li
roi|roi
pelleus|pelleus
prist|prist
haine|haine
et|et
fellonie|fellonie
contre|contre
son|son
nevo|nevo
jason|jason
et|et
coment|coment
il|il
pensa|pensa
de|de
lui|lui
hocire|hocire
.|.
or|or
dit|dit
li|li
contes|contes
et|et
la|la
veraie|veraie
estoire|estoire
de|de
daire|daire
le|le
nos|nos
tesmoigne|tesmoigne
qe|qe
pelleus|pelleus
fu|fu
un|un
riche|riche
roi|roi
saje|saje
et|et
cortois|cortois
et|et
vaillant|vaillant
.|.
celui|celui
pelleus|pelleus
tenoit|tenoit
mult|mult
grant|grant
partie|partie
de|de
grese|grese
desous|desous
sa|sa
seignorie|seignorie
;|;
son|son
reigne|reigne
tenoit|tenoit
il|il
quitement|quitement
et|et
en|en
pais|pais
et|et
loiaument|loiaument
.|.
celui|celui
pelleus|pelleus
avoit|avoit
un|un
sien|sien
frere|frere
en_la|en_la
cité|cité
de|de
penolope|penolope
dou_qel|dou_qel
l’|l’
estoire|estoire
ne|ne
nos|nos
raconte|raconte
qel|qel
estoit|estoit
sa|sa
seignorie|seignorie
ne|ne
c’|c’
il|il
estoit|estoit
conte|conte
qel|qel
esto|esto
estoie|estoie
duc|duc
.|.
de|de
celui|celui
frere|frere
pelleus|pelleus
nasqi|nasqi
un|un
fiz|fiz
qi|qi
estoit|estoit
mult|mult
biau|biau
damoisel|damoisel
et|et
vaillant|vaillant
car|car
de|de
sa|sa
enfante|enfante
comenca|comenca
il|il
à|à
sormonter|sormonter
tot|tot
les|les
damoiseles|damoiseles
de|de
son|son
païs|païs
neis|neis
tos|tos
cels|cels
dou|dou
monde|monde
car|car
il|il
estoit|estoit
mult|mult
vaillant|vaillant
et|et
preuz|preuz
et|et
saje|saje
.|.
celui|celui
jason|jason
estoit|estoit
tant|tant
montés|montés
de|de
sa|sa
enfante|enfante
par|par
sa|sa
vallor|vallor
et|et
par|par
sa|sa
proësse|proësse
car|car
son|son
nom|nom
estoit|estoit
coneü|coneü
et|et
redoutés|redoutés
par|par
maintes|maintes
terres|terres
et|et
son|son
afer|afer
aloit|aloit
chascun|chascun
jor|jor
multipliant|multipliant
plus_et_plus|plus_et_plus
.|.
et|et
quant|quant
pelleus|pelleus
vit|vit
que|que
jason|jason
aloit|aloit
ensi|ensi
fesans|fesans
et|et
qe|qe
chascun|chascun
jor|jor
multiplioit|multiplioit
plus_et_plus|plus_et_plus
,|,
il|il
pensa|pensa
à|à
soi|soi
meïsmes|meïsmes
qe|qe
,|,
c’|c’
il|il
vivoit|vivoit
longuement|longuement
,|,
il|il
le|le
poroit|poroit
desiriter|desiriter
et|et
chaser|chaser
fors|fors
de|de
sa|sa
terre|terre
et|et
de|de
son|son
reigne|reigne
à_ce_q’|à_ce_q’
il|il
estoit|estoit
mult|mult
amés|amés
de|de
tot|tot
les|les
aus|aus
barons|barons
de|de
son|son
reigne|reigne
por|por
sa|sa
valor|valor
et|et
por|por
sa|sa
bonté|bonté
.|.
à|à
ce|ce
pensoit|pensoit
li|li
roi|roi
qe|qe
mult|mult
grant|grant
paor|paor
avoit|avoit
de|de
son|son
nevo|nevo
qi|qi
ne|ne
le|le
chasast|chasast
for|for
de|de
sa|sa
terre|terre
,|,
car|car
il|il
connoisoit|connoisoit
qe|qe
fere|fere
le|le
peüst|peüst
asés|asés
legierement|legierement
c’|c’
il|il
de|de
te|te
se|se
voloit|voloit
entremetre|entremetre
.|.
et|et
por|por
ceste|ceste
grant|grant
paor|paor
prist|prist
il|il
haine|haine
et|et
fellonie|fellonie
à|à
lui|lui
,|,
si|si
pensoit|pensoit
tot|tot
jor|jor
coment|coment
il|il
peüst|peüst
envoier|envoier
en|en
male|male
voie|voie
son|son
nevo|nevo
;|;
asé|asé
s’|s’
engignoit|engignoit
il|il
tot|tot
jor|jor
.|.
ja|ja
fust|fust
ce_q’|ce_q’
il|il
ne|ne
fesoit|fesoit
nuls|nuls
senblant|senblant
.|.
coment|coment
pelleus|pelleus
pensa|pensa
de|de
mander|mander
jason|jason
au|au
colcos|colcos
la|la
toison|toison
dou|dou
monton|monton
querre|querre
.|.
en|en
celui|celui
tenz|tenz
,|,
celonc|celonc
ce_qe|ce_qe
l’|l’
estoire|estoire
nos|nos
raconte|raconte
,|,
avoit|avoit
en|en
l’|l’
isle|isle
dou|dou
colcos|colcos
un|un
monton|monton
le_qel|le_qel
avoit|avoit
la|la
toison|toison
d’|d’
or|or
.|.
si|si
estoit|estoit
celui|celui
monton|monton
de|de
tel|tel
vertu|vertu
qe|qe
nuls|nuls
ne|ne
le|le
poit|poit
prendre|prendre
ni|ni
avoir|avoir
ni|ni
por|por
senz|senz
ni|ni
por|por
hor|hor
ni|ni
por|por
argent|argent
,|,
car|car
il|il
estoit|estoit
del|del
guise|guise
gardés|gardés
q’|q’
il|il
n’|n’
i|i
alast|alast
ja|ja
nul|nul
home|home
vivant|vivant
por|por
prer|prer
-le|-le
q’|q’
il|il
ne|ne
li|li
convenist|convenist
la|la
vie|vie
perdre|perdre
.|.
si|si
en|en
estoit|estoit
ja|ja
por|por
lui|lui
prendre|prendre
et|et
avoir|avoir
maintes|maintes
vaillans|vaillans
homes|homes
mors|mors
.|.
pelleus|pelleus
se|se
porpensa|porpensa
en|en
son|son
cuor|cuor
qe|qe
,|,
c’|c’
il|il
peüst|peüst
tan|tan
faire|faire
q’|q’
il|il
i|i
peüst|peüst
jason|jason
envoier|envoier
por|por
la|la
toison|toison
dou|dou
monton|monton
qerre|qerre
,|,
adonc|adonc
seroit|seroit
il|il
delivré|delivré
de|de
lui|lui
et|et
de|de
sa|sa
paor|paor
et|et
jamés|jamés
ne|ne
li|li
convendroit|convendroit
de|de
lui|lui
douter|douter
à_ce_q’|à_ce_q’
il|il
savoit|savoit
qe|qe
jamés|jamés
ne|ne
repareroit|repareroit
.|.
de|de
se|se
meïsmes|meïsmes
.|.
ne|ne
demora|demora
mie|mie
grament|grament
qe|qe
li|li
roi|roi
pelleus|pelleus
tint|tint
une|une
mult|mult
grant|grant
feste|feste
de_denz|de_denz
sa|sa
cité|cité
car|car
il|il
fist|fist
asenbler|asenbler
tos|tos
les|les
aus|aus
barons|barons
de|de
sa|sa
contree|contree
et|et
de|de
son|son
reigne|reigne
qi|qi
bien|bien
furent|furent
plus|plus
de|de
viic|viic
.|.
à|à
cele|cele
grant|grant
feste|feste
estoit|estoit
jason|jason
et|et
hercules|hercules
.|.
celui|celui
hercules|hercules
estoit|estoit
mult|mult
preus|preus
et|et
vaillant|vaillant
et|et
mult|mult
très_fors|très_fors
:|:
il|il
conqist|conqist
par|par
sa|sa
force|force
et|et
par|par
sa|sa
proësse|proësse
maintes|maintes
reignes|reignes
et|et
maintes|maintes
regions|regions
;|;
il|il
ficha|ficha
les|les
boues|boues
qe|qe
alixandre|alixandre
le|le
grant|grant
trova|trova
en|en
inde|inde
la|la
dereaine|dereaine
.|.
celui|celui
hercules|hercules
vainqi|vainqi
et|et
hocist|hocist
maint|maint
jaans|jaans
par|par
son|son
cors|cors
seulement|seulement
.|.
et|et
quant|quant
la|la
cort|cort
hot|hot
duree|duree
viii|viii
jors|jors
tot|tot
pleniers|pleniers
,|,
li|li
roi|roi
apella|apella
jason|jason
et|et
li|li
dist|dist
:|:
"|"|"|"
biau|biau
nies|nies
,|,
je|je
vos|vos
aime|aime
,|,
veraiement|veraiement
le|le
sachés|sachés
,|,
sor|sor
toutes|toutes
rienz|rienz
vivant|vivant
et|et
faire|faire
le|le
doi|doi
por_ce_qe|por_ce_qe
mon|mon
nevo|nevo
esté|esté
et|et
por_ce_qe|por_ce_qe
vostre|vostre
valor|valor
et|et
vostre|vostre
proësse|proësse
le|le
me|me
comande|comande
à|à
faire|faire
.|.
biaus|biaus
nies|nies
,|,
je|je
ne|ne
vos|vos
vuoil|vuoil
ramentovoir|ramentovoir
la|la
grant|grant
renomee|renomee
qui|qui
vos|vos
cort|cort
par|par
universe|universe
monde|monde
ni|ni
ne|ne
vos|vos
vuoil|vuoil
ramentouvoir|ramentouvoir
vostre|vostre
grant|grant
proësses|proësses
ne|ne
vostre|vostre
mervoilleuses|mervoilleuses
victoire|victoire
qi|qi
vos|vos
sunt|sunt
avenues|avenues
en|en
vostre|vostre
tenz|tenz
por_ce_q’|por_ce_q’
il|il
ne|ne
seroit|seroit
convenable|convenable
.|.
mes|mes
je|je
vos|vos
fais|fais
savoir|savoir
qe|qe
vos|vos
poés|poés
henor|henor
et|et
pris|pris
conqerre|conqerre
et|et
avoir|avoir
sor|sor
tos|tos
homes|homes
vivant|vivant
se|se
vos|vos
de|de
ce|ce
vos|vos
volés|volés
entremetre|entremetre
.|.
si|si
vos|vos
dirai|dirai
coment|coment
.|.
voir|voir
est|est
qe|qe
en_l’|en_l’
isle|isle
