et|et
as|as
buen|buen
troveors|troveors
qui|qui
sont|sont
,|,
##|##
et|et
à|à
françois|françois
pri|pri
por|por
amor|amor
##|##
qu’|qu’
il|il
ne|ne
blasment|blasment
mon|mon
labor|labor
:|:
##|##
qui|qui
blasme|blasme
ce|ce
qui|qui
doit|doit
loer|loer
##|##
et|et
loe|loe
ce|ce
qui|qui
doit|doit
blasmer|blasmer
,|,
##|##
il|il
ne|ne
se|se
puet|puet
pas|pas
mieuz|mieuz
honir|honir
.|.
##|##
as|as
françois|françois
vuel|vuel
de|de
tant|tant
servir|servir
,|,
##|##
quar|quar
ma|ma
lengue|lengue
li|li
est|est
sauvage|sauvage
,|,
##|##
que|que
je|je
ai|ai
dit|dit
en|en
mon|mon
lenguage|lenguage
##|##
au|au
mieus|mieus
que|que
je|je
ai|ai
seü|seü
dire|dire
.|.
##|##
se|se
ma|ma
lengue|lengue
la|la
lor|lor
enpire|enpire
,|,
##|##
por|por
ce|ce
ne|ne
me|me
dient|dient
enui|enui
:|:
##|##
mais|mais
am|am
ma|ma
lengue|lengue
que|que
l’|l’
autrui|autrui
.|.
##|##
romans|romans
ni|ni
estoire|estoire
ne|ne
plait|plait
##|##
as|as
françois|françois
se|se
il|il
ne|ne
l’|l’
on|on
fait|fait
:|:
##|##
n’|n’
est|est
merveille|merveille
quar|quar
il|il
bescaige|bescaige
##|##
nen|nen
a|a
si|si
lait|lait
osel|osel
sauvaige|sauvaige
##|##
qui|qui
son|son
osieus|osieus
ne|ne
li|li
soit|soit
plus|plus
bieus|bieus
##|##
que|que
tot|tot
li|li
meudre|meudre
des|des
osieus|osieus
.|.
##|##
et|et
li|li
estre|estre
de|de
mon|mon
païs|païs
##|##
me|me
sont|sont
plus|plus
bieus|bieus
,|,
ce|ce
m’|m’
est|est
avis|avis
.|.
##|##
endroit|endroit
de|de
buen|buen
pris|pris
et|et
d’|d’
onor|onor
##|##
et|et
de|de
servise|servise
qui|qui
de|de
lor|lor
.|.
##|##
voirs|voirs
est|est
qu’|qu’
il|il
i|i
a|a
de|de
françois|françois
##|##
et|et
de|de
vilein|vilein
et|et
de|de
cortois|cortois
:|:
##|##
ensi|ensi
est|est
de|de
tote|tote
janz|janz
.|.
##|##
qui|qui
voudra|voudra
en|en
mon|mon
romanz|romanz
##|##
de|de
ce|ce
que|que
i|i
a|a
esmender|esmender
,|,
##|##
por|por
ce|ce
ne•l|ne•l
doit|doit
il|il
pas|pas
blasmer|blasmer
:|:
##|##
tant|tant
n’|n’
ai|ai
dit|dit
segont|segont
l’|l’
estoire|estoire
##|##
com|com
je|je
n’|n’
avoie|avoie
en|en
memoire|memoire
,|,
##|##
tot|tot
ensi|ensi
con|con
por|por
analina|analina
##|##
traïs|traïs
de|de
grecois|grecois
estoire|estoire
latina|latina
,|,
##|##
et|et
sachiéz|sachiéz
che|che
por|por
son|son
plaisir|plaisir
##|##
le|le
fis|fis
et|et
plus|plus
por|por
li|li
servir|servir
.|.
##|##
que|que
floriemont|floriemont
fu|fu
apelléz|apelléz
,|,
##|##
puis|puis
fu|fu
tant|tant
por|por
amor|amor
venchuz|venchuz
##|##
qu’|qu’
il|il
fu|fu
noméz|noméz
povre|povre
perduz|perduz
,|,
##|##
et|et
por|por
amor|amor
et|et
por|por
largece|largece
##|##
ot|ot
mult|mult
de|de
nui|nui
et|et
de|de
povrece|povrece
,|,
##|##
por|por
largeté|largeté
et|et
por|por
amor|amor
##|##
refu|refu
il|il
puis|puis
à|à
grant|grant
honor|honor
.|.
##|##
ensi|ensi
avient|avient
à|à
mainte|mainte
gent|gent
##|##
qui|qui
en|en
loial|loial
amor|amor
s’|s’
entent|entent
:|:
##|##
se|se
tot|tot
a|a
enui|enui
por|por
largece|largece
,|,
##|##
ne|ne
puet|puet
remanoir|remanoir
en|en
povrece|povrece
.|.
##|##
mais|mais
cil|cil
qui|qui
se|se
repent|repent
d’|d’
onor|onor
##|##
torne|torne
sa|sa
joie|joie
en|en
error|error
##|##
quar|quar
hom|hom
ne|ne
vient|vient
à|à
grant|grant
autece|autece
##|##
ni|ni
à|à
grant|grant
honor|honor
sanz|sanz
largece|largece
.|.
##|##
et|et
cil|cil
qui|qui
se|se
repent|repent
del|del
bien|bien
##|##
senble|senble
li|li
chierf|chierf
qu’|qu’
envers|envers
le|le
chien|chien
##|##
torne|torne
quant|quant
a|a
coru|coru
assez|assez
:|:
##|##
por|por
ce|ce
est|est
morz|morz
et|et
affolléz|affolléz
;|;
##|##
ja|ja
ne•l|ne•l
prendroit|prendroit
sanz|sanz
grant|grant
enui|enui
##|##
ainc|ainc
jors|jors
ne|ne
fu|fu
po|po
avarice|avarice
##|##
ne|ne
in|in
prison|prison
ne|ne
en|en
destrece|destrece
.|.
##|##
cel|cel
*|*
cui|cui
elle|elle
tient|tient
en|en
prison|prison
##|##
n’|n’
ouse|ouse
fere|fere
conduit|conduit
ni|ni
don|don
.|.
##|##
floriemont|floriemont
ne|ne
prist|prist
ele|ele
mie|mie
.|.
##|##
toz|toz
jorz|jorz
menoit|menoit
mult|mult
bele|bele
vie|vie
,|,
##|##
por|por
largece|largece
conquist|conquist
assez|assez
,|,
##|##
de|de
plusors|plusors
rois|rois
fu|fu
rois|rois
claméz|claméz
.|.
##|##
mil|mil
c|c
quatrovintetviiii|quatrovintetviiii
ans|ans
##|##
avoit|avoit
del|del
encharnacion|encharnacion
.|.
##|##
adonc|adonc
fu|fu
retraït|retraït
por|por
aymon|aymon
.|.
##|##
qui|qui
fu|fu
flor|flor
de|de
trastuit|trastuit
le|le
mont|mont
,|,
##|##
de|de
laquel|laquel
flor|flor
silesauit|silesauit
##|##
que|que
romadanaple|romadanaple
conquit|conquit
##|##
dont|dont
alixandres|alixandres
fu|fu
engendréz|engendréz
##|##
que|que
toz|toz
jors|jors
sera|sera
renoméz|renoméz
.|.
##|##
risus|risus
quevauque|quevauque
et|et
sa|sa
gent|gent
##|##
si|si
nen|nen
aloit|aloit
mie|mie
lent|lent
.|.
##|##
par|par
mi|mi
le|le
val|val
de|de
bri|bri
paserent|paserent
##|##
et|et
un|un
sol|sol
