-les|-les||||||
a|a|avoir|HABERE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
a|a1|avoir|HABERE||VERB||Fin,Ind,Pres,Intr,3,Sing
a|a2|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,3,Sing,MWEs
abatirent|abatirent|abatre|ABBATTUERE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
abatoient|abatoient|abatre|ABBATTUERE||VERB||Fin,Ind,Imp,Act,Trans,3,Plur
abatu|abatu|abatre|ABBATTUERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
abatus|abatus|abatre|ABBATTUERE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
abondance|abondance|abondance|ABUNDANTIA||NOUN||Fem,Sing
acheison|acheison|ochaison|OCCASIO||NOUN||Fem,Sing
acheson|acheson|ochaison|OCCASIO||NOUN||Fem,Sing
acoilli|acoilli|acoillir|*ACCOLLIGERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
aconplis|aconplis3|acomplir|COMPLERE||VERB|Adj|Ind,Part,Past,Plur,Masc
acorderent|acorderent|acorder|*ACCORDARE||VERB||Fin,Ind,Past,Rfl,3,Plur
acroist|acroist|acroistre|CRESCERE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
adonc|adonc|adonc|DUNC||ADV||
afaire|afaire|afaire|FACERE||NOUN||Masc,Sing,Nom
afaire|afaire1|afaire|FACERE||NOUN||Masc,Sing,Acc
afer|afer|afaire|FACERE||NOUN||Masc,Sing,Nom
afer|afer1|afaire|FACERE||NOUN||Masc,Sing,Acc
afollerent|afollerent|afoler|FULLARE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
afïés|afïés|afier|*FIDARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
ai|ai|avoir|HABERE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing
aide|aide|äie|ADJUTARE||NOUN||Masc,Sing,Acc
aideront|aideront|aidier|ADJUTARE||VERB||Fin,Ind,Fut,Act,Trans,3,Plur
aidier|aidier|aidier|ADJUTARE||VERB||Ind,Inf,Pres,Act,Trans
aille|aille|aler (GDC)|AMBULARE||VERB||Fin,Sub,Pres,Intr,3,Sing
ains|ains|ainz|ANTE||ADV||
ajousta|ajousta|ajoster|*JUXTARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
ala|ala|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Intr,3,Sing
ala|ala1|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Rfl,3,Sing
alassent|alassent|aler (GDC)|AMBULARE||VERB||Fin,Sub,Imp,Intr,3,Plur
aleigre|aleigre|haliegre|ALACER||ADJ||Masc,Sing,Nom
aler|aler|aler (GDC)|AMBULARE||VERB||Ind,Inf,Pres,Intr
aler|aler1|aler (GDC)|AMBULARE||VERB|auxMod|Ind,Inf,Pres
alerent|alerent|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Intr,3,Plur
aloit|aloit|aler (GDC)|AMBULARE||VERB||Fin,Ind,Imp,Intr,3,Sing
aloit|aloit1|aler (GDC)|AMBULARE||VERB||Fin,Ind,Imp,Rfl,3,Sing
alïés|alïés|aler (GDC)|AMBULARE||VERB||Fin,Sub,Pres,Rfl,2,Plur
amasser|amasser|amasser|MASSA||VERB||Ind,Inf,Pres,Act,Trans
amerra|amerra|amener|MINARE||VERB||Fin,Ind,Fut,Intr,3,Sing
amis|amis2|ami|AMICUS||NOUN||Masc,Plur,Nom
amis|amis3|ami|AMICUS||NOUN||Masc,Plur,Acc
amisté|amisté|amistié|*AMICITAS||NOUN||Fem,Sing
amonest|amonest|amonester|*ADMONESTARE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing
amor|amor2|amor|AMOR||NOUN||Masc,Sing,Acc
ancrerent|ancrerent|ancrer|ANCORA||VERB||Fin,Ind,Past,Act,Trans,3,Plur
ancres|ancres|ancre|ANCORA||NOUN||Fem,Plur
anel|anel3|anel|ANELLUS||NOUN||Masc,Plur,Acc
anuisoient|anuisoient||||||
aparoil|aparoil3|apareil|*APPARICULARE||NOUN||Masc,Plur,Acc
aparoilla|aparoilla|apareillier1|*APPARICULARE||VERB||Fin,Ind,Past,Rfl,3,Sing
aparoillee|aparoillee7|apareillier1|*APPARICULARE||VERB|Adj|Ind,Part,Past,Plur,Fem
aparoiller|aparoiller|apareillier1|*APPARICULARE||VERB||Ind,Inf,Pres,Act,Trans
aparoillier|aparoillier|apareillier1|*APPARICULARE||VERB||Ind,Inf,Pres,Act,Trans
aparoilliés|aparoilliés|apareillier1|*APPARICULARE||VERB|compPass|Ind,Part,Past,Plur,Fem,MWEs
aparoillés|aparoillés|apareillier1|*APPARICULARE||VERB||Ind,Part,Past,Sing,Masc
aparoillés|aparoillés4|apareillier1|*APPARICULARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
aparoillés|aparoillés5|apareillier1|*APPARICULARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
aparut|aparut|aparoir|*APPARESCERE||VERB||Fin,Ind,Past,Intr,3,Sing
apellee|apellee|apeler|APPELLARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
aperceüs|aperceüs1|apercevoir|PERCIPERE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
apercuerent|apercuerent|apercevoir|PERCIPERE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
aporta|aporta|aporter|APPORTARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
aprés|aprés|après|AD PRESSUM||ADP||
aprés|aprés1|après|AD PRESSUM||ADV||Tim
archees|archees|archiee|ARCUS||NOUN||Fem,Plur
argent|argent|argent|ARGENTUM||NOUN||Masc,Sing,Acc
arieres|arieres|ariere|AD RETRO||ADV||Loc
