coment|coment
jason|jason
ariva|ariva
et|et
coment|coment
il|il
furent|furent3
en|en
son|son1
païs|païs
.|.
jason|jason
et|et
sa|sa
conpaignie|conpaignie
,|,
puis_q’|puis_q’
il|il1
furent|furent2
mis|mis1
en|en
mer|mer
,|,
nagerent|nagerent
tant_q’|tant_q’
il|il1
vindrent|vindrent
en|en
lor|lor2
contree|contree
,|,
si|si
ariverent|ariverent
à|à
celui|celui1
meïsmes|meïsmes1
port|port
dont|dont
il|il1
estoient|estoient2
meü|meü
.|.
quant|quant
lor|lor7
amis|amis2
les|les4
virent|virent
ens|ens
ariver|ariver
,|,
sachés|sachés
veraiement|veraiement
q’|q’1
il|il1
firent|firent
lor|lor4
moult|moult
grant|grant4
joie|joie
et|et
moult|moult
le|le5
receivent|receivent
à|à
grant|grant1
henor|henor
.|.
si|si
vos|vos
di|di
qe|qe3
la|la
toison|toison
q’|q’
il|il
aporta|aporta
dou|dou
colcos|colcos
fu|fu1
esgardee|esgardee
à|à
grant|grant4
mervoille|mervoille
et|et
grant|grant4
paroille|paroille
en|en2
fu|fu1
tenue|tenue
por|por
le|le
païs|païs
et|et
grant|grant1
pris|pris
et|et
grant|grant4
los|los
en|en2
recut|recut
jason|jason
.|.
li|li
re|re
pelleus|pelleus
honora|honora
moult|moult
jason|jason1
,|,
ja|ja
fust|fust1
ce_qu’|ce_qu’
il|il
fust|fust
moult|moult
doulent|doulent
de|de
sa|sa
venue|venue
mes|mes
senblant|senblant
ne|ne
fesoit|fesoit
.|.
si|si
vos|vos
laisse|laisse
hore|hore
nostre|nostre2
conte|conte1
à|à
parler|parler
de|de
jason|jason
si|si
outreement|outreement
q’|q’1
il|il
ne|ne
parole|parole
plus|plus
en|en
nulle|nulle
part|part
por_ce_qe|por_ce_qe
daire|daire
ne|ne
se|se
escrist|escrist
plus|plus
,|,
meïsmement|meïsmement
beneoit|beneoit
qui|qui
le|le
livre|livre1
trelaica|trelaica
le|le6
nos|nos1
tesmoigne|tesmoigne
ausi|ausi
.|.
mes|mes
nos|nos
vos|vos
traiterons|traiterons
de|de
la|la
plus|plus
grant|grant4
hovre|hovre
qui|qui
jamés|jamés
fust|fust1
ni|ni
doie|doie
estre|estre2
,|,
se|se4
cuit|cuit
,|,
ce|ce
est|est
des|des2
tres|tres
mortels|mortels1
batailles|batailles
là_où|là_où
morut|morut
toute|toute
la|la
aute|aute
chevalerie|chevalerie
qi|qi
à|à
celui|celui1
tenp|tenp
estoit|estoit
au|au
monde|monde1
,|,
et|et
coment|coment
la|la
grant|grant4
cité|cité
de|de
troie|troie
fu|fu1
mise|mise
à|à
feu|feu1
et|et
à|à
ruine|ruine
.|.
coment|coment
jason|jason
se|se
plaint|plaint
au|au
roi|roi1
pelleus|pelleus1
dou|dou
roi|roi1
laomedon|laomedon1
.|.
moult|moult
fist|fist2
jason|jason
et|et
hercules|hercules
grant|grant1
conplainte|conplainte
au|au
roi|roi1
pelleus|pelleus1
et|et
as|as
autres|autres1
chevaliers|chevaliers3
et|et
borgois|borgois
de|de
son|son1
païs|païs
de|de
ce_qe|ce_qe
li|li
roi|roi
laomedon|laomedon
lor|lor4
avoit|avoit2
fet|fet2
au|au
port|port
de|de
troie|troie
et|et
coment|coment
il|il
le|le4
conjea|conjea
honteusement|honteusement
,|,
et|et
q’|q’1
il|il
ne|ne
vost|vost
soufrir|soufrir
ses|ses2
nes|nes1
en|en
son|son1
port|port
por|por
demorer|demorer
.|.
moult|moult
tindrent|tindrent
les|les
gresois|gresois2
de|de
ce|ce1
grant|grant4
paroille|paroille
et|et
moult|moult
en|en2
pesa|pesa
au|au
roi|roi1
pelleus|pelleus1
et|et
as|as
autres|autres1
barons|barons3
de|de
son|son1
reigne|reigne
de|de
ce_que|ce_que
laomedon|laomedon
lor|lor4
avoit|avoit2
fet|fet2
;|;
si|si
ont|ont1
tot|tot6
