coment|coment
priant|priant
,|,
le|le
fiz|fiz
li|li
roi|roi1
laomedon|laomedon1
,|,
nen|nen
estoit|estoit
adonc|adonc
à|à
troie|troie
et|et
li|li
duel|duel1
q’|q’
il|il
fist|fist
quant|quant
il|il
sot|sot
les|les1
novelles|novelles
de|de
la|la
destrution|destrution
de|de
la|la
cité|cité
.|.
or|or
dit|dit
li|li
contes|contes
qe|qe3
li|li
roi|roi
laomedon|laomedon
avoit|avoit
un|un
fiz|fiz1
qui|qui
avoit|avoit
non|non2
priant|priant1
.|.
celui|celui
priant|priant
nen|nen
estoit|estoit
adonc|adonc
à|à
troie|troie
quant|quant
la|la
destrution|destrution
fu|fu1
fete|fete3
car|car
son|son
pere|pere
l’|l’5
avoit|avoit2
envoié|envoié
en|en
host|host
por|por
asegier|asegier
un|un
chastel|chastel
.|.
mes|mes
quant|quant
à|à
cestui|cestui3
priant|priant1
fu|fu1
dit|dit3
et|et
conté|conté1
ensi_come|ensi_come
troie|troie
avoit|avoit2
esté|esté5
destruite|destruite
et|et
esillee|esillee
et|et
por|por
qel|qel
mainiere|mainiere
,|,
et|et
qe|qe3
son|son
pere|pere
et|et
sa|sa
mere|mere
avoit|avoit2
esté|esté5
hocis|hocis1
et|et
detrenchés|detrenchés
et|et
ses|ses2
feroit|feroit
ausi|ausi
fors|fors
etsionan|etsionan
seulement|seulement
qe|qe1
talemon|talemon
avoit|avoit2
menee|menee
en|en
servaje|servaje
,|,
il|il
en|en2
fu|fu
moult|moult
doulent|doulent
et|et
moult|moult
corociés|corociés1
houtre|houtre
se|se4
qe|qe
cuor|cuor1
d’|d’
ome|ome
peüst|peüst
penser|penser
et|et
dire|dire
.|.
il|il
comensa|comensa1
son|son1
duel|duel1
et|et
sa|sa
plainte|plainte
desmesuree|desmesuree
en|en
tel|tel6
mainiere|mainiere
:|:
"|"
biau|biau
pere|pere
doux|doux
,|,
qe|qe2
grant|grant
damaje|damaje
est|est1
il|il2
de|de
vos|vos
et|et
de|de
vostre|vostre2
valor|valor
et|et
de|de
vostre|vostre2
bonté|bonté
et|et
de|de
vostre|vostre2
aute|aute
lingnee|lingnee
!|!
qi|qi4
lle|lle
poira|poira
jamés|jamés
restourer|restourer
?|?
biau|biau
pere|pere
,|,
por_qoi|por_qoi
ne|ne
sui|sui
je|je
mort|mort1
avec|avec
vos|vos
ausi_com|ausi_com
fu|fu2
ma|ma
mere|mere
et|et
mes|mes1
serors|serors
,|,
qi|qi
de|de
valor|valor
et|et
de|de
biauté|biauté
pasoient|pasoient
toutes|toutes
les|les1
feme|feme1
dou|dou
monde|monde1
?|?
haï_las|haï_las
,|,
porqoi|porqoi
ne|ne
muer|muer
je|je
tot_maintenat|tot_maintenat
por_ce_qe|por_ce_qe
je|je
ne|ne
veïsse|veïsse
si|si
fete|fete4
doulor|doulor1
?|?
aï|aï
noble|noble
chevalerie|chevalerie
de|de
troie|troie
,|,
à|à
com|com1
grant|grant4
joie|joie
me|me
parti|parti
de|de
vos|vos
et|et
hore|hore
est|est2
ensi|ensi
perie|perie
et|et
desritee|desritee
et|et
hocise|hocise
et|et
detrenchee|detrenchee
ho|ho
tot|tot7
vostre|vostre2
gentil|gentil1
mainees|mainees
.|.
peries|peries
sont|sont3
les|les1
hautes|hautes
dames|dames
et|et
les|les1
hautes|hautes
damoiselles|damoiselles
et|et
menee|menee1
en|en
servaje|servaje
,|,
et|et
avec|avec
tot|tot7
ceste|ceste1
grant|grant4
doulor|doulor1
est|est2
menee|menee1
en|en
servaje|servaje
ma|ma
suor|suor
esionan|esionan
.|.
haï_las|haï_las
bone|bone
cité|cité
et|et
riche|riche
et|et
noble|noble
qi|qi
hore|hore
est|est2
esilliee|esilliee
et|et
gastee|gastee
.|.
quel|quel
damaje|damaje
,|,
qel|qel2
doulor|doulor2
,|,
qi|qi4
le|le4
poira|poira
jamés|jamés
restorer|restorer
?|?
certes|certes
nuls|nuls3
,|,
si_com|si_com
je|je
croi|croi
.|.
priant|priant
,|,
cheitif|cheitif
et|et
dolereus|dolereus
,|,
desormés|desormés
es|es2
tu|tu
seür|seür
de|de
vivre|vivre
le|le
remanant|remanant
de|de
ta|ta
vie|vie
à|à
doulor|doulor
et|et
à|à
martir|martir
?|?
"|"
.|.
en|en
tel|tel6
mainiere|mainiere
plaingnoit|plaingnoit
et|et
se|se
dementoit|dementoit
priant|priant
,|,
com|com
je|je
vos|vos
ai|ai
dit|dit1
et|et
conté|conté
,|,
por|por
les|les1
novelles|novelles
de|de
sa|sa
grant|grant4
perte|perte
qi|qi2
contees|contees
li|li2
furent|furent2
.|.
voirement|voirement
cestui|cestui2
priant|priant
avoit|avoit
avec|avec
li|li2
sa|sa
fame|fame
,|,
qi|qi
ecuba|ecuba
estoit|estoit2
apellee|apellee
par|par
son|son1
droi|droi
nom|nom1
,|,
q’|q’
il|il
avoit|avoit2
ho|ho
lui|lui
amenee|amenee
.|.
de|de
cele|cele
dame|dame
avoit|avoit
priant|priant
viii|viii
filz|filz
:|:
les|les
v|v
estoient|estoient
masles|masles
et|et
les|les1
trois|trois
femelles|femelles
,|,
dou_qels|dou_qels
horois|horois
les|les
nons|nons
et|et
lor|lor5
vies|vies
et|et
se|se4
q’|q’
il|il1
devindrent|devindrent
aprés|aprés1
,|,
de|de
qel|qel
vaillance|vaillance
il|il1
furent|furent
.|.
coment|coment
le|le1
fils|fils
priant|priant1
furent|furent2
només|només
.|.
les|les2
premiers|premiers
des|des2
filz|filz
priant|priant1
avoit|avoit
a|a
non|non2
hector|hector
:|:
celui|celui2
estoit|estoit1
adonc|adonc
moult|moult
biau|biau
damoisel|damoisel
,|,
mes|mes
hore|hore
ne|ne
vos|vos
en|en2
dirai|dirai
plus|plus
por_ce_qe|por_ce_qe
aprés|aprés1
horois|horois
de|de
ces|ces1
mervoilleuses|mervoilleuses
honies|honies
et|et
coment|coment
il|il
trepassa|trepassa
tot|tot1
les|les
chevaliers|chevaliers3
vivant|vivant
de|de
proësse|proësse
et|et
de|de
vallor|vallor
.|.
li|li
segont|segont
fiz|fiz
priant|priant1
avoit|avoit
non|non2
paris|paris
,|,
qi|qi
estoit|estoit1
biau|biau
sor|sor
tos|tos1
autres|autres
de|de
cors|cors
et|et
de|de
faison|faison
;|;
avec|avec1
fu|fu
il|il
saje|saje
et|et
cortois|cortois
et|et
vaillant|vaillant
.|.
li|li
tiers|tiers
hot|hot1
non|non2
deifebus|deifebus
,|,
qi|qi
bien|bien4
fu|fu
preus|preus
et|et
vaillant|vaillant
de|de
son|son1
cors|cors
.|.
li|li
qart|qart
hot|hot1
non|non2
helenus|helenus
,|,
qi|qi
moult|moult
fu|fu
saje|saje
deivin|deivin
car|car
il|il
devinoit|devinoit
et|et
descovroit|descovroit
moult_de|moult_de
chouses|chouses
sacrees|sacrees
.|.
li|li
quit|quit
hot|hot1
non|non2
troielus|troielus
:|:
cestui|cestui2
troielus|troielus1
fu|fu
moult|moult
grant|grant
et|et
fornis|fornis
de|de
son|son1
cors|cors
et|et
chevalier|chevalier
de|de
moult|moult
aut|aut1
afaire|afaire1
;|;
il|il
fist|fist
de|de
moult|moult
grant|grant5
chevaleries|chevaleries
et|et
maint|maint1
tornoi|tornoi
vainqui|vainqui
par|par
son|son1
cors|cors
seulement|seulement
.|.
des|des1
filles|filles
avoit|avoit
non|non2
l’|l’1
annee|annee
andromacha|andromacha
,|,
qi|qi
moult|moult
fu|fu
saje|saje
et|et
senee|senee
à|à
mervoille|mervoille
;|;
sa|sa
biauté|biauté
et|et
sa|sa
cortesie|cortesie
estoit|estoit1
mervoilleuse|mervoilleuse
à|à
remirer|remirer
.|.
la|la
segonde|segonde
avoit|avoit
non|non2
casandre|casandre
;|;
ceste|ceste1
casandre|casandre
savoit|savoit
moult|moult
bien|bien4
devenir|devenir
por|por
son|son1
sens|sens
et|et
por|por
son|son1
savoir|savoir
.|.
la|la
tierce|tierce1
avoit|avoit
non|non2
polisenan|polisenan
;|;
cele|cele
polisenan|polisenan
vos|vos
di|di
veraiement|veraiement
qe|qe3
en|en
troie|troie
et|et
en|en
tot|tot3
le|le
païs|païs
nen|nen
avoit|avoit1
feme|feme
de|de
sa|sa
biauté|biauté
.|.
coment|coment
priant|priant
refist|refist
sa|sa
cité|cité
.|.
priant|priant
avoit|avoit
encore|encore
xxx|xxx
filz|filz
non|non
mie|mie
de|de
sa|sa
feme|feme
,|,
se|se4
trovons|trovons
lisans|lisans
;|;
mes|mes
l’|l’1
estoire|estoire
nos|nos1
raconte|raconte
q’|q’1
il|il1
estoient|estoient
toz|toz
chevaliers|chevaliers2
preuz|preuz1
et|et
vaillant|vaillant
.|.
quant|quant
priant|priant
hot|hot
son|son1
duel|duel1
finé|finé
en|en
tel|tel6
mainiere|mainiere
com|com
je|je
vos|vos
ai|ai
contés|contés
,|,
il|il
se|se
parti|parti
dou|dou
siegne|siegne
dou|dou
chastel|chastel
là_où|là_où
il|il
estoit|estoit
;|;
puis|puis
s’|s’
en|en2
vint|vint1
à|à
troie|troie
à_tant_de|à_tant_de
gent|gent
com|com
il|il
avoit|avoit
en|en
sa|sa
conpaignie|conpaignie
.|.
si|si
la|la1
trova|trova
ensi|ensi
ensilliee|ensilliee
et|et
degastee|degastee
com|com
je|je
vos|vos
ai|ai
dit|dit1
,|,
et|et
la|la
gent|gent
toute|toute
morte|morte
et|et
prise|prise2
et|et
foïe|foïe
,|,
et|et
l’|l’
avoir|avoir1
et|et
le|le
tresor|tresor
roubés|roubés
et|et
portés|portés
en|en
greses|greses
.|.
et|et
quant|quant
il|il
ot|ot1
ce|ce1
trovés|trovés2
,|,
il|il1
plorerent|plorerent
trois|trois
jors|jors
tos|tos1
entiers|entiers
sans|sans
mangier|mangier1
et|et
sans|sans
boivre|boivre
,|,
por|por
lor|lor6
amis|amis3
et|et
por|por
lor|lor2
cité|cité
qi|qi
estoit|estoit3
ensi|ensi
alee|alee
.|.
quant|quant
il|il1
orent|orent1
ce|ce1
fet|fet
,|,
il|il1
firent|firent
as|as
diex|diex
moult|moult
grant|grant4
sacrefices|sacrefices
et|et
moult|moult
grant|grant5
ofrandes|ofrandes
;|;
puis|puis
aprés|aprés1
consoilla|consoilla
priant|priant
à|à
ses|ses1
homes|homes1
qi|qi1
referoient|referoient
la|la
cité|cité
plus|plus
grant|grant4
et|et
plus|plus
defensable|defensable
q’|q’1
elle|elle
nen|nen
estoit|estoit
devant|devant
,|,
si_q’|si_q’
il|il2
ne|ne
lor|lor4
conviegne|conviegne
les|les
gresois|gresois1
temer|temer
s’|s’3
il|il1
le|le5
voxissent|voxissent
asaillir|asaillir
de|de
guerre|guerre
.|.
et|et
puis|puis
,|,
quant|quant
il|il1
avront|avront1
se|se4
fet|fet
,|,
si|si
poiront|poiront
prendre|prendre
vengiance|vengiance
de|de
ce_q’|ce_q’
il|il1
ont|ont1
lor|lor4
fet|fet
.|.
à|à
ce|ce1
faire|faire
ne|ne
prist|prist
priant|priant
mie|mie
lonc|lonc
terme|terme
mes|mes
tot|tot4
avant|avant
conmencerent|conmencerent1
il|il1
à|à
hovrer|hovrer
coment|coment
l’|l’1
evre|evre
fust|fust2
miels|miels
achevee|achevee
.|.
il|il1
troverent|troverent
premierement|premierement
hovriers|hovriers
à|à
moult|moult
grant|grant4
abandonance|abandonance
;|;
puis|puis
aprés|aprés1
sans|sans
demorer|demorer
firent|firent
les|les
marbre|marbre1
trenchier|trenchier
et|et
trer|trer
por|por
la|la
cité|cité
fer|fer1
.|.
si|si
vos|vos
di|di
qe|qe3
nos|nos
trovons|trovons
lisant|lisant
qe|qe3
onques|onques
cité|cité
nen|nen
avoit|avoit2
esté|esté1
de|de
sa|sa
biauté|biauté
ne|ne
de|de
sa|sa
grandor|grandor
jusque|jusque
à|à
celui|celui1
tenz|tenz
q’|q’1
elle|elle
fu|fu1
refete|refete
,|,
car|car
priant|priant
i|i
mist|mist
toute|toute
sa|sa
entente|entente
et|et
tot|tot3
son|son1
pooir|pooir
à|à
fere|fere
la|la1
bien|bien4
fort|fort3
et|et
defensable|defensable
:|:
riche|riche
maison|maison
et|et
riche|riche3
temple|temple1
i|i
fist|fist1
faire|faire
,|,
et|et
riches|riches2
murs|murs
et|et
bien|bien4
crinellés|crinellés
,|,
e|e
torres|torres
de_sus|de_sus
le|le1
murs|murs
et|et
autes|autes
et|et
espeses|espeses
,|,
moult|moult
près|près
l’|l’1
une|une1
de|de
l’|l’1
autre|autre8
à|à
moins|moins
d’|d’
une|une
archee|archee
;|;
les|les
marbre|marbre
de|de
qoi|qoi
la|la
cité|cité
estoit|estoit
estoient|estoient
blanc|blanc2
et|et
bis|bis2
et|et
vermoils|vermoils
et|et
indes|indes
.|.
si|si
vos|vos
di|di
veraiement|veraiement
qe|qe3
en|en
poi_de|poi_de
tenz|tenz
fu|fu1
la|la
cité|cité
fete|fete3
fort|fort3
et|et
grant|grant4
et|et
belle|belle
plus_qe|plus_qe
nulle|nulle
autre|autre4
qi|qi
fust|fust1
au|au
monde|monde1
.|.
les|les
fossés|fossés
et|et
les|les
barbacaines|barbacaines
d_entor|d_entor
furent|furent4
autes|autes
et|et
parfondes|parfondes
et|et
bien|bien4
pavees|pavees
,|,
ensi_com|ensi_com
à|à
fort|fort3
cité|cité
convenoit|convenoit
.|.
si|si
fort|fort3
estoit|estoit1
la|la
cité|cité
q’|q’1
elle|elle
ne|ne
cremeroit|cremeroit
toute|toute
gresse|gresse
s’|s’3
elle|elle
i|i
venist|venist
por|por
guerre|guerre
fere|fere
.|.
la|la
cité|cité
duroit|duroit
trois|trois
jornees|jornees
de_lonc|de_lonc
.|.
le|le3
rues|rues
de|de
la|la
cité|cité
