coment|coment
li|li
roi|roi
priant|priant
jousta|jousta
un|un
parlament|parlament
dedenz|dedenz
la|la
cité|cité
quant|quant
li|li
roi|roi
priant|priant
vit|vit
sa|sa
cité|cité
ensi|ensi
atornee|atornee
et|et
fete|fete2
par|par
si|si
mervoilleuse|mervoilleuse
maestrie|maestrie
,|,
il|il
en|en2
fu|fu
aleigre|aleigre
sor|sor
tos|tos1
autres|autres5
.|.
adonc|adonc
li|li2
senbla|senbla
estre|estre
eslevés|eslevés
et|et
creüs|creüs1
en|en
autesse|autesse
;|;
si|si
ne|ne
poit|poit
hoblié|hoblié1
la|la
grant|grant4
honte|honte
et|et
le|le
lait|lait1
damaje|damaje1
qe|qe1
les|les
gresois|gresois2
li|li2
avoient|avoient1
fet|fet4
de|de
son|son1
pere|pere1
et|et
de|de
sa|sa
mere|mere
,|,
et|et
de|de
son|son1
lignaje|lignaje
et|et
de|de
sa|sa
cité|cité
.|.
si|si
ajousta|ajousta
adonc|adonc
un|un
grant|grant1
parlement|parlement
,|,
là_où|là_où
il|il
fist|fist1
venir|venir
tot|tot10
le|le
miels|miels1
de|de
sa|sa
gent|gent1
.|.
tos|tos7
ses|ses
fils|fils
i|i
furent|furent
fors|fors
hector|hector
seulement|seulement
,|,
q’|q’
il|il
avoit|avoit2
tramis|tramis
en|en
le|le2
partie|partie
de|de
palone|palone
por|por
lor|lor2
grant|grant4
besoigne|besoigne
achever|achever
.|.
et|et
quant|quant
les|les
sajes|sajes2
homes|homes
furent|furent1
au|au
parlement|parlement
asenblés|asenblés
,|,
li|li
roi|roi
consoilla|consoilla
ho|ho
els|els1
ensi_com|ensi_com
il|il
dut|dut
,|,
en_tel_mainiere_com|en_tel_mainiere_com
je|je
vos|vos
dirai|dirai
.|.
coment|coment
li|li
roi|roi
parla|parla
entre|entre
ses|ses1
barons|barons3
"|"
biau|biau2
seignors|seignors
,|,
fist|fist
li|li
roi|roi
,|,
entendés|entendés
à|à
moi|moi
,|,
qi|qi
vos|vos1
,|,
qi|qi
fois|fois1
et|et
loiauté|loiauté
me|me
portés|portés
,|,
vos|vos1
savés|savés
bien|bien4
coment|coment
les|les
gresois|gresois2
vindrent|vindrent
en|en
cestui|cestui3
païs|païs
et|et
la|la
grant|grant4
desconfiture|desconfiture
q’|q’
il|il1
firent|firent
de|de
nostre|nostre
gent|gent1
et|et
coment|coment
il|il1
hocistrent|hocistrent
mon|mon1
pere|pere1
et|et
ma|ma
mere|mere
et|et
mes|mes1
serors|serors
.|.
et|et
puis|puis
enmenerent|enmenerent
ma|ma
suor|suor
esionan|esionan
en|en
servaje|servaje
,|,
si|si
ne|ne
l’|l’4
a|a2
talemon|talemon
volue|volue
prendre|prendre
à|à
feme|feme
.|.
aprés|aprés1
savés|savés
coment|coment
il|il1
destruissent|destruissent
nostre|nostre
cité|cité
et|et
degasterent|degasterent
.|.
por|por
toutes|toutes
ses|ses3
chouses|chouses
vos|vos
fais|fais
à|à
savoir|savoir1
qe|qe3
mon|mon
cuer|cuer1
est|est
en|en
doulor|doulor
et|et
en|en
tristesse|tristesse
,|,
et|et
ensi|ensi
demora|demora
tot|tot1
les|les
jors|jors
de|de
ma|ma
vie|vie
se|se2
vengiance|vengiance
nen|nen
est|est2
prise|prise
.|.
et|et
por|por
se|se4
,|,
biaus|biaus4
seignors|seignors
,|,
je|je
ai|ai1
pensés|pensés
de|de
mander|mander
qerre|qerre
ma|ma
suor|suor
ensionan|ensionan
en|en
grese|grese
.|.
et|et
,|,
c’|c’
il|il2
avient|avient
q’|q’1
il|il
la|la1
m’|m’
en|en2
voillent|voillent
rendre|rendre
,|,
de|de
part|part
diex|diex3
soit|soit
;|;
et|et
se|se2
rendre|rendre
ne|ne
la|la1
me|me
voudront|voudront
,|,
si|si
penserons|penserons
entre|entre
vos|vos
et|et
mes|mes2
fils|fils1
et|et
moi|moi
et|et
consoillerons|consoillerons
dou|dou
guerroier|guerroier2
ou|ou
dou|dou
laisier|laisier1
"|"
.|.
coment|coment
tos|tos4
loerent|loerent
le|le
conseil|conseil
qe|qe1
li|li
roi|roi
ot|ot1
doné|doné
les|les
fils|fils1
li|li
roi|roi1
et|et
les|les
autres|autres
barons|barons3
qi|qi
au|au
parlement|parlement
estoient|estoient1
loerent|loerent
mult|mult
cestui|cestui3
consoil|consoil1
et|et
distrent|distrent
qe|qe3
ce|ce
estoit|estoit1
bon|bon
afer|afer
sans|sans
targier|targier
.|.
si|si
eslist|eslist
li|li
roi|roi
un|un
sien|sien
barons|barons1
qi|qi
mult|mult
estoit|estoit1
saje|saje
et|et
riche|riche2
et|et
vaillant|vaillant
,|,
et|et
mult|mult
savoit|savoit1
de|de
plait|plait
et|et
de|de
loi|loi
,|,
qi|qi
athenor|athenor
estoit|estoit2
apellés|apellés
.|.
celui|celui2
apella|apella
li|li
roi|roi
et|et
dist|dist
en_tel_mainiere|en_tel_mainiere
:|:
"|"
biau|biau
sire|sire
athenor|athenor
,|,
aler|aler
vos|vos
convient|convient
en|en
grese|grese
ma|ma
suor|suor
esionan|esionan
reqerre|reqerre
et|et
demander|demander
de_part|de_part
moi|moi
à|à
celui|celui3
qu’|qu’2
il|il
la|la1
tient|tient
,|,
por|por
tel|tel2
convenant|convenant
:|:
qe|qe3
,|,
c’|c’
il|il
me|me
la|la1
rent|rent1
,|,
qe|qe3
je|je
li|li2
qit|qit
tos|tos1
tors|tors
et|et
tos|tos8
les|les1
hontes|hontes
et|et
les|les
damajes|damajes
q’|q’
il|il1
m’|m’
ont|ont1
fet|fet4
de|de
mon|mon1
pere|pere1
et|et
de|de
ma|ma
mere|mere
et|et
de|de
mes|mes1
suor|suor1
hocire|hocire
,|,
et|et
de|de
ma|ma
gent|gent1
et|et
de|de
ma|ma
terre|terre
q’|q’
il|il1
destruistrent|destruistrent
.|.
si|si
lor|lor4
metés|metés
jor|jor
et|et
terme|terme
dou|dou
rendre|rendre1
et|et
puis|puis
vos|vos1
en|en2
retornés|retornés2
"|"
.|.
coment|coment
athenor|athenor
ala|ala
en|en
grese|grese
por|por
le|le
commandament|commandament
le|le
roi|roi1
et|et
coment|coment
il|il
esploita|esploita
athenor|athenor
respondi|respondi
au|au
roi|roi1
qe|qe3
,|,
puis_qu’|puis_qu’
il|il
le|le9
comande|comande
d’|d’
aler|aler
,|,
il|il
le|le6
fera|fera
à|à
son|son1
poïr|poïr
.|.
si|si
cuide|cuide1
qe|qe3
por|por
mesaje|mesaje1
ne|ne
perdra|perdra
il|il
ja|ja
noiant|noiant2
de|de
sa|sa
besoigne|besoigne
.|.
li|li
roi|roi
l’|l’5
en|en2
mertia|mertia
mult|mult
,|,
puis|puis
li|li2
a|a2
fet|fet6
aparoillier|aparoillier
une|une
mult|mult
riche|riche
nef|nef
.|.
cele|cele
nuit|nuit
se|se
recoilli|recoilli
athenor|athenor
desus|desus
et|et
se|se
mist|mist1
à|à
la|la
voie|voie
.|.
il|il
ot|ot
bon|bon1
vent|vent
et|et
droiturier|droiturier
qi|qi
tost|tost
le|le4
porta|porta
là_où|là_où
il|il
voloit|voloit1
aler|aler
.|.
car|car
,|,
avant_qe|avant_qe
la|la
semaine|semaine
fust|fust3
passee|passee
,|,
ariva|ariva
il|il
ho|ho
sa|sa
nef|nef
à|à
manasse|manasse
,|,
où|où
il|il
trova|trova
pelleus|pelleus1
le|le4
recoilli|recoilli1
bien|bien4
et|et
cortoisement|cortoisement
et|et
sa|sa
gent|gent1
ausi|ausi
;|;
si|si
les|les4
sejorna|sejorna
trois|trois
jors|jors
bien|bien4
et|et
aisieement|aisieement
.|.
et|et
quant|quant
il|il1
orent|orent1
ensi|ensi
sejorné|sejorné
,|,
pelleus|pelleus
,|,
por_ce_q’|por_ce_q’
il|il
savoit|savoit2
q’|q’1
il|il
avoit|avoit1
as|as
troiens|troiens1
grant|grant4
guerre|guerre
,|,
si|si
lor|lor4
demanda|demanda
et|et
enqist|enqist
qi|qi5
·l|·l
aloient|aloient
por|por
cele|cele
contree|contree
chersant|chersant
.|.
athenor|athenor
li|li2
respondi|respondi
et|et
dist|dist
q’|q’1
il|il
estoit|estoit1
mesaje|mesaje
au|au
roi|roi1
priant|priant1
de|de
troie|troie
,|,
"|"
le_qel|le_qel
vos|vos
mande|mande
par|par
moi|moi
qe|qe3
vos|vos1
hardist|hardist
la|la
cité|cité
et|et
li|li2
oceïst|oceïst
son|son1
pere|pere1
et|et
sa|sa
mere|mere
et|et
ses|ses2
serors|serors
entre|entre
vos|vos
et|et
les|les
autres|autres1
gresois|gresois1
.|.
puis_aprés|puis_aprés
si|si2
emmenastes|emmenastes
une|une
sien|sien1
suor|suor
qe|qe
esionan|esionan
est|est2
apellee|apellee
,|,
la_qel|la_qel
talemon|talemon
tient|tient
en|en
servaje|servaje
