coment|coment
menelax|menelax
et|et
nestor|nestor1
vindrent|vindrent
à|à
parche|parche
et|et
qoi|qoi
furent|furent
or|or
dit|dit
li|li
contes|contes
qe|qe3
menelaux|menelaux
,|,
tot_maintenant_q’|tot_maintenant_q’
il|il
ot|ot1
la|la
novelle|novelle
hoïe|hoïe
de|de
sa|sa
terre|terre
qi|qi
robee|robee
et|et
gastee|gastee
estoit|estoit2
,|,
et|et
de|de
sa|sa
feme|feme
heleine|heleine
qi|qi
li|li2
estoit|estoit2
en_tel_mainiere|en_tel_mainiere
tollue|tollue1
,|,
il|il
pria|pria
nestor|nestor
q’|q’1
il|il
deüst|deüst
aler|aler
ho|ho
lui|lui
à|à
parcle|parcle
.|.
nestor|nestor1
fist|fist2
sa|sa
reqeste|reqeste
et|et
sa|sa
proiere|proiere
volentier|volentier
,|,
si|si
se|se1
mistrent|mistrent
sor|sor
mer|mer
.|.
et|et
tant|tant
siglerent|siglerent
qu’|qu’1
il|il1
ariverent|ariverent
à|à
parche|parche
ensi_com|ensi_com
je|je
vos|vos
ai|ai1
avant|avant
dit|dit
.|.
agamenon|agamenon
fu|fu2
entretant|entretant
venus|venus
,|,
q’|q’
il|il1
avoient|avoient1
mandé|mandé
qerre|qerre
.|.
cestui|cestui2
agamenon|agamenon
estoit|estoit1
frere|frere
menelax|menelax
,|,
qi|qi
estoit|estoit1
mult|mult
saje|saje
et|et
vaillant|vaillant
.|.
qant|qant
cestui|cestui2
agamenon|agamenon
fu|fu2
à|à
parches|parches
arivés|arivés2
,|,
il|il
trova|trova
son|son1
frere|frere1
menelax|menelax
mult|mult
desconfortés|desconfortés1
de|de
ce_q’|ce_q’
il|il
avoit|avoit2
sa|sa
feme|feme
pardue|pardue1
,|,
et|et
ses|ses
homes|homes
estoient|estoient3
pris|pris6
et|et
mors|mors2
et|et
detrenchés|detrenchés
,|,
et|et
les|les
tenples|tenples1
roubé|roubé
et|et
l’|l’
avoir|avoir1
portés|portés
tos|tos7
à|à
troie|troie
.|.
quant|quant
agamenon|agamenon
vit|vit
son|son1
frere|frere1
ensi|ensi
desconfortés|desconfortés1
,|,
il|il
le|le4
comensa|comensa
à|à
reconforter|reconforter
.|.
si|si
li|li2
dist|dist
en_tel_mainiere|en_tel_mainiere
:|:
"|"
biaus|biaus
sire|sire
,|,
