achaterent|achaterent|achater|*ACCAPTARE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
achever|achever|achever|CAPUT||VERB||Ind,Inf,Pres,Act,Trans
achilles|achilles|Achille|||PROPN||Masc,Sing,Nom
acorderent|acorderent|acorder|*ACCORDARE||VERB||Fin,Ind,Past,Rfl,3,Plur
adonc|adonc|adonc|DUNC||ADV||
afer|afer|afaire|FACERE||NOUN||Masc,Sing,Nom
afer|afer1|afaire|FACERE||NOUN||Masc,Sing,Acc
agamenon|agamenon|Agamemnon|||PROPN||Masc,Sing,Nom
agamenon|agamenon1|Agamemnon|||PROPN||Masc,Sing,Acc
ai|ai1|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,1,Sing,MWEs
aider|aider|aidier|ADJUTARE||VERB||Ind,Inf,Pres,Rfl
aidier|aidier|aidier|ADJUTARE||VERB||Ind,Inf,Pres,Act,Trans
ains|ains|ainz|ANTE||ADV||
ajoustee|ajoustee|ajoster|*JUXTARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
alast|alast|aler (GDC)|AMBULARE||VERB||Fin,Sub,Imp,Intr,3,Sing
aler|aler|aler (GDC)|AMBULARE||VERB||Ind,Inf,Pres,Intr
alerent|alerent|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Intr,3,Plur
amender|amender|amender|EMENDARE||VERB||Ind,Inf,Pres,Act,Trans
amis|amis3|ami|AMICUS||NOUN||Masc,Plur,Acc
amor|amor|amor|AMOR||NOUN||Fem,Sing
aparoil|aparoil1|apareil|*APPARICULARE||NOUN||Masc,Sing,Acc
aparoilla|aparoilla|apareillier1|*APPARICULARE||VERB||Fin,Ind,Past,Rfl,3,Sing
aparoillee|aparoillee1|apareillier1|*APPARICULARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
aparoillés|aparoillés5|apareillier1|*APPARICULARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
aparoils|aparoils1|apareil|*APPARICULARE||NOUN||Masc,Plur,Acc
