cestui|cestui2
livre|livre
paroule|paroule
dou|dou
siege|siege
et|et
de_la|de_la
destrucion|destrucion
de|de
troie|troie
et|et
por_qoi|por_qoi
troie|troie
fu|fu1
destrute|destrute
et|et
issillee|issillee
.|.
salemon|salemon
lu|lu
trè_sage|trè_sage
nos|nos1
enseigne|enseigne
e|e
amonest|amonest1
en|en
son|son1
livre|livre1
qe|qe3
l_en|l_en
ne|ne
doit|doit
son|son1
sen|sen
ni|ni
son|son1
savoir|savoir
celer|celer
ainc|ainc
doit|doit
aprendre|aprendre
et|et
ensegner|ensegner
as|as
autres|autres5
por|por
henor|henor
et|et
pris|pris
conquere|conquere
et|et
avoir|avoir
car|car
ensi|ensi
firent|firent
les|les
nos|nos2
ansesors|ansesors
.|.
car|car
els_qui|els_qui
les|les2
sept|sept
ars|ars
troverent|troverent
,|,
c’|c’
il|il1
se|se1
fusent|fusent
teü|teü
,|,
les|les
homes|homes
vivroient|vivroient
à_la|à_la
mainiere|mainiere
de|de
bestes|bestes
car|car
il|il1
ne|ne
savroient|savroient
qe|qe2
fust|fust
senz|senz
ni|ni
follie|follie
ni|ni
ne|ne
garderoient|garderoient
li|li
un|un2
l’|l’
autre|autre7
por_ce_qe|por_ce_qe
raison|raison
ne|ne
seroit|seroit
entr’|entr’
els|els1
conneüe|conneüe
ni|ni
gardee|gardee
.|.
mes|mes
por_ce_q’|por_ce_q’
il|il1
firent|firent1
de|de
lor|lor1
savoir|savoir
aprendre|aprendre
et|et
enseignier|enseignier
as|as
autres|autres5
,|,
seront|seront
il|il1
ramenceüs|ramenceüs
et|et
només|només
lonc|lonc
tenz|tenz
.|.
car|car
,|,
c’|c’
il|il1
nen|nen
eüssent|eüssent
ensi|ensi
fait|fait
,|,
lor|lor
savoir|savoir
et|et
lor|lor2
ensience|ensience
seroit|seroit1
chouse|chouse
pardue|pardue
et|et
non|non
porfitable|porfitable
.|.
et|et
por_ce_qe|por_ce_qe
l_en|l_en
doit|doit
tou_jor|tou_jor
aprendre|aprendre
et|et
enseignier|enseignier
,|,
me|me
voill|voill
ge|ge
travaillier|travaillier
d’|d’
une|une
estoire|estoire
metre|metre
en|en
romanz|romanz
por_ce_qe|por_ce_qe
cels_qe|cels_qe
le|le
latin|latin
ne|ne
entendent|entendent
se|se1
puissent|puissent
deliter|deliter
,|,
car|car
l’|l’1
estoire|estoire
est|est1
moult|moult
riche|riche
et|et
de|de
grant|grant1
afaire|afaire1
:|:
ce|ce
est|est
comme|comme
troie|troie
fu|fu1
destruice|destruice
et|et
isilliee|isilliee
,|,
de|de
qoi|qoi
la|la
verité|verité
est|est2
poi|poi
seüe|seüe
.|.
ci|ci
dit|dit
coment|coment
homier|homier
li|li
clerc|clerc
traitai|traitai
dou|dou
siege|siege
et|et
de_la|de_la
destrucion|destrucion
troie|troie
.|.
homier|homier
fu|fu
un|un
clerc|clerc
moult|moult
saje|saje
selonc_ce_qe|selonc_ce_qe
le|le2
stoire|stoire
nos|nos1
raconte|raconte
.|.
celui|celui
homier|homier
escrist|escrist
dès|dès
le|le
comencement|comencement
de_la|de_la
guerre|guerre
jusques|jusques
la|la
destrusion|destrusion
de|de
troie|troie
,|,
et|et
por_qoi|por_qoi
troie|troie
fu|fu1
destruie|destruie
et|et
desiritee|desiritee
.|.
mes|mes
por_ce_qe|por_ce_qe
cestui|cestui2
homier|homier
ne|ne
fu|fu2
nés|nés
c|c
ans|ans1
aprés_ce_qe|aprés_ce_qe
troie|troie
fu|fu1
destruite|destruite
et|et
desiritee|desiritee
,|,
ne|ne
fu|fu1
son|son
livre|livre
por_verité|por_verité
creüz|creüz
car|car
il|il
nen|nen
avoit|avoit2
de|de
ce|ce1
rienz|rienz
veü|veü
.|.
et|et
quant|quant
homier|homier
hot|hot
son|son1
livre|livre1
fet|fet2
et|et
il|il
fu|fu1
à_la|à_la
cité|cité
d’|d’
ateines|ateines
aportés|aportés2
et|et
leüz|leüz
entres|entres
les|les
sajes|sajes
clers|clers
,|,
si|si
le|le4
vostrent|vostrent
por|por
raison|raison
danner|danner
,|,
por_ce_q’|por_ce_q’
il|il
fet|fet10
conbatre|conbatre
demanois|demanois
les|les
diex|diex
ho|ho
lez|lez
troienz|troienz1
.|.
ensement|ensement
avoit|avoit2
conbatre|conbatre
le|le3
deesses|deesses
ho|ho
les|les
charnels|charnels
,|,
la_quel|la_quel
chouse|chouse
li|li2
fu|fu1
tornee|tornee
à|à
grant|grant4
follie|follie
.|.
mes|mes
por_ce_qe|por_ce_qe
homier|homier
estoit|estoit1
moult|moult
saje|saje
clerc|clerc
,|,
fu|fu1
son|son
livre|livre
enn|enn
ahotiricés|ahotiricés
mis|mis3
et|et
receüs|receüs
.|.
coment|coment
cornelius|cornelius
retrova|retrova
la|la
veraie|veraie
estoire|estoire
de|de
troie|troie
,|,
li_qel|li_qel
livre|livre1
le|le
troien|troien
escrist|escrist
de_denz|de_denz
troie|troie
en|en
lengue|lengue
gresoit|gresoit
.|.
et|et
coment|coment
celui|celui
cornelius|cornelius
la|la1
mist|mist
en|en
latin|latin
.|.
à|à
celui|celui1
tenz|tenz
qe|qe3
saluste|saluste
vivoit|vivoit
,|,
estoit|estoit3
rome|rome
grant|grant4
piece|piece
duree|duree
dès|dès
le|le
sien|sien
commencement|commencement
.|.
celui|celui
saluste|saluste
estoit|estoit1
de|de
moult|moult
aut|aut1
parage|parage
et|et
moult|moult
preu|preu
et|et
moult|moult
vaillant|vaillant
et|et
moult|moult
saje|saje
clerc|clerc
.|.
si|si
avoit|avoit
celui|celui
saluste|saluste
uno|uno
sien|sien
nevo|nevo
moult|moult
saje|saje1
et|et
esiencos|esiencos
et|et
moult|moult
fondés|fondés
de|de
clergie|clergie
qe|qe
cornelius|cornelius
estoit|estoit2
apellés|apellés
.|.
celui|celui
cornelius|cornelius
tenoit|tenoit
en|en
scoile|scoile
en|en
la|la
arte|arte
d’|d’
ateines|ateines
.|.
un|un
jor|jor
avint|avint
qe|qe3
celui|celui
cornelius|cornelius
cersoit|cersoit
de_denz|de_denz
son|son1
armaire|armaire1
por|por
trover|trover
un|un
sien|sien
livre|livre1
.|.
ensi|ensi
chersant|chersant
vint|vint
as|as
es|es4
mains|mains
l’|l’1
estoire|estoire
qe|qe1
daire|daire
escrist|escrist
en|en
lengue|lengue
gresois|gresois
à|à
celui|celui1
tenz|tenz
qe|qe3
li|li
siegue|siegue
estoit|estoit
à|à
troie|troie
.|.
celui|celui
daire|daire
estoit|estoit1
troienz|troienz
,|,
si|si
estoit|estoit
adonc|adonc
dedenz|dedenz
la|la
cité|cité
qi|qi
veoit|veoit
et|et
hooit|hooit
qanqe|qanqe
se|se
fesoit|fesoit
.|.
si|si
tot_ce_qe|tot_ce_qe
le|le
jor|jor
se|se
fesoit|fesoit
en|en1
conbatant|conbatant
ou|ou
en|en1
parlant|parlant
ou|ou
en|en1
trevant|trevant
metoit|metoit
il|il
la|la
nuit|nuit
en|en
escrit|escrit
.|.
et|et
ce|ce1
savoit|savoit
il|il
moult|moult
bien|bien4
faire|faire
à_ce_q’|à_ce_q’
il|il
estoit|estoit1
clerc|clerc
mervoilleus|mervoilleus
et|et
chevalier|chevalier
ardis|ardis
et|et
vaillans|vaillans
de|de
son|son1
cors|cors
.|.
et|et
por_ce_q’|por_ce_q’
il|il
vit|vit
qe|qe3
li|li
fer|fer
de_la|de_la
bataille|bataille
estoit|estoit1
si|si
fors|fors1
et|et
si|si
mervoilleus|mervoilleus
,|,
pensa|pensa
il|il
de|de
metre|metre
en|en
escrit|escrit
tot_ce_qe|tot_ce_qe
dou|dou
siege|siege
avendroit|avendroit
et|et
en|en
remenbrance|remenbrance
.|.
si|si
vos|vos
di|di
bien|bien4
veraiement|veraiement
qe|qe3
celui|celui
daire|daire
,|,
por_ce_q’|por_ce_q’
il|il
fust|fust
troienz|troienz
,|,
ne|ne
volt|volt
rienz|rienz
dire|dire
ni|ni
retraire|retraire
por|por
amor|amor
q’|q’
il|il
eüst|eüst
as|as
troienz|troienz1
ni|ni
por|por
haine|haine
q’|q’
il|il
eüst|eüst
as|as
gresois|gresois1
se|se
la|la
verité|verité
non|non
.|.
aprés_ce_qe|aprés_ce_qe
troie|troie
fu|fu1
destruite|destruite
,|,
fu|fu1
le|le
livre|livre
pardus|pardus
moult|moult
grant|grant1
tenz|tenz
qe|qe3
il|il
ne|ne
fu|fu1
trovés|trovés
ensi_com|ensi_com
je|je
vos|vos
ai|ai1
contés|contés
.|.
mes|mes
ateines|ateines
trovés|trovés
mesires|mesires
latin|latin
par|par
son|son1
senz|senz1
et|et
por|por
son|son1
savoir|savoir
.|.
et|et
por_ce_qe|por_ce_qe
ceste|ceste1
estoire|estoire
escrist|escrist
celui|celui2
qe|qe
tot_ce|tot_ce
vit|vit
à|à
sez|sez
euz|euz
,|,
le|le4
devons|devons1
nos|nos
miels|miels
croire|croire
qe|qe3
celui|celui2
qi|qi
aprés|aprés
c|c
.|.
anz|anz1
nasqi|nasqi
ni|ni
de|de
ce|ce1
nen|nen
avoit|avoit2
rienz|rienz
veü|veü
ni|ni
seü|seü
fors|fors
por|por
hoïr|hoïr
dir|dir
.|.
