-le|-le||||||
-li|-li||||||
a|a|avoir|HABERE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
a|a1|avoir|HABERE||VERB||Fin,Ind,Pres,Intr,3,Sing
a|a2|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,3,Sing,MWEs
aasier|aasier|aaisier|ADJACENS||VERB||Ind,Inf,Pres,Act,Trans
abandona|abandona|abandoner|*BAN||VERB||Fin,Ind,Past,Act,Trans,3,Sing
abandonance|abandonance|abondance|ABUNDANTIA||NOUN||Fem,Sing
abandonee|abandonee|abandoner|*BAN||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
abandoneement|abandoneement|abandoneement|*BAN||ADV||Man
abandonner|abandonner|abandoner|*BAN||VERB||Ind,Inf,Pres,Act,Trans
achater|achater|achater|*ACCAPTARE||VERB||Ind,Inf,Pres,Act,Trans
achever|achever|achever|CAPUT||VERB||Ind,Inf,Pres,Act,Trans
acier|acier1|acier|ACIARIUM||NOUN||Masc,Sing,Acc
acoilli|acoilli|acoillir|*ACCOLLIGERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
acollee|acollee|acoler|COLLUM||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
acommandés|acommandés||||||
aconplies|aconplies|acomplir|COMPLERE||VERB|compTens|Ind,Part,Past,Plur,Fem,MWEs
aconplir|aconplir|acomplir|COMPLERE||VERB||Ind,Inf,Pres,Act,Trans
aconplis|aconplis|acomplir|COMPLERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
aconplis|aconplis1|acomplir|COMPLERE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
aconta|aconta|aconter|COMPUTARE||VERB||Fin,Ind,Past,Rfl,3,Sing
acontast|acontast|aconter|COMPUTARE||VERB||Fin,Sub,Imp,Rfl,3,Sing
acontés|acontés|aconter|COMPUTARE||VERB||Fin,Ind,Pres,Rfl,2,Plur
acoula|acoula|acoler|COLLUM||VERB||Fin,Ind,Past,Act,Trans,3,Sing
acoullerent|acoullerent|acoler|COLLUM||VERB||Fin,Ind,Past,Rfl,3,Plur
acreïsiment|acreïsiment1|acroissement|CRESCERE||NOUN||Masc,Sing,Acc
adonc|adonc|adonc|DUNC||ADV||
adoubés|adoubés|adober|DUBBAN||VERB||Ind,Part,Past,Sing,Masc
afer|afer|afaire|FACERE||NOUN||Masc,Sing,Nom
afer|afer1|afaire|FACERE||NOUN||Masc,Sing,Acc
afi|afi|afier|*FIDARE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing
afier|afier|afier|*FIDARE||VERB||Ind,Inf,Pres,Act,Trans
afubla|afubla|afubler|*AFFIBULARE||VERB||Fin,Ind,Past,Rfl,3,Sing
agusiéz|agusiéz|aguisier|*ACUTIARE||VERB|Adj|Ind,Part,Past,Sing,Masc
ahornee|ahornee|aorner2|ADORNARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
ai|ai|avoir|HABERE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing
ai|ai1|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,1,Sing,MWEs
aies|aies1|avoir|HABERE||VERB|auxTens|Fin,Sub,Pres,2,Sing,MWEs
aigue|aigue|aigue|AQUA||NOUN||Fem,Sing
aille|aille|aler (GDC)|AMBULARE||VERB||Fin,Sub,Pres,Intr,3,Sing
aillent|aillent|aler (GDC)|AMBULARE||VERB||Fin,Sub,Pres,Intr,3,Plur
aim|aim|amer1|AMARE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing
aime|aime|amer1|AMARE||VERB||Fin,Ind,Pres,Act,Trans,1,Sing
aime|aime1|amer1|AMARE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
ains|ains|ainz|ANTE||ADV||
ains_qe|ains_qe|ainz|ANTE||ADV|SConj |MWEs
ainsois_qe|ainsois_qe|ainçois|ANTE||ADV|SConj |MWEs
ais|ais|ainz|ANTE||ADV||
ais|ais2|aise|ADJACENS||NOUN||Masc,Sing,Acc
ais|ais4|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,2,Sing,MWEs
ait|ait|avoir|HABERE||VERB||Fin,Sub,Pres,Act,Trans,3,Sing
ajorner|ajorner|ajorner|DIURNUM||VERB|Noun|Ind,Inf,Pres
ala|ala|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Intr,3,Sing
ala|ala1|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Rfl,3,Sing
ala|ala2|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Past,3,Sing
alassent|alassent2|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Sub,Imp,3,Sing
alasses|alasses|aler (GDC)|AMBULARE||VERB||Fin,Sub,Imp,Intr,2,Sing
alast|alast|aler (GDC)|AMBULARE||VERB||Fin,Sub,Imp,Intr,3,Sing
alee|alee|aler (GDC)|AMBULARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
alegre|alegre3|haliegre|ALACER||ADJ||Fem,Sing
aleigre|aleigre|haliegre|ALACER||ADJ||Masc,Sing,Nom
aler|aler|aler (GDC)|AMBULARE||VERB||Ind,Inf,Pres,Intr
aler|aler1|aler (GDC)|AMBULARE||VERB|auxMod|Ind,Inf,Pres
aler|aler2|aler (GDC)|AMBULARE||VERB|Noun|Ind,Inf,Pres
alerent|alerent1|aler (GDC)|AMBULARE||VERB||Fin,Ind,Past,Rfl,3,Plur
aleüre|aleüre|alëure|AMBULARE||NOUN||Fem,Sing
alixandre|alixandre|Alisandre|||PROPN||Masc,Sing,Nom
aloient|aloient|aler (GDC)|AMBULARE||VERB||Fin,Ind,Imp,Intr,3,Plur
aloient|aloient3|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Imp,3,Plur
