FORMA|LEMMA|ETIMO|LANG|POS|FUNCT||ADPTYPE|ADVTYPE|ADVTYPE2|CASE|DEGREE|DETERTYPE|GENDER|MOOD|MWES|NUMBER|NUMTYPE|PARTTYPE|PERSON|PRONTYPE|PROPERTY|TENSE|VERBFORM|VOICE|g|h|p|v
aasier|aaisier|ADJACENS||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
abandonance|abondance|ABUNDANTIA||noun|||||||||fem|||sing|||||||||g||p|v
abandona|abandoner|*BAN||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
abandoneement|abandoneement|*BAN||adverb||||man|||||||||||||||||g||p|v
abandonee|abandoner|*BAN||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
abandonner|abandoner|*BAN||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
abandonés|abandoner|*BAN||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
abatent|abatre|ABATTUERE||verb||||||||||sub||plur|||3||trans|pres|fin|act|g||p|v
abatirent|abatre|ABBATTUERE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
abatoient|abatre|ABBATTUERE||verb||||||||||imp||plur|||3||trans||ind|act|g||p|v
abatus|abatre|ABBATTUERE||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
abatu|abatre|ABBATTUERE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
abitee|abiter|HABITARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
abondance|abondance|ABUNDANTIA||noun|||||||||fem|||sing|||||||||g||p|v
achaie|Achaye|||propernoun|||||||||fem|||sing|||||||||g||p|v
achaterent|achater|*ACCAPTARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
achater|achater|*ACCAPTARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
achaterés|achater|*ACCAPTARE||verb||||||||||||plur|||2||trans|fut|ind|act|g||p|v
acheison|ochaison|OCCASIO||noun|||||||||fem|||sing|||||||||g||p|v
acheson|ochaison|OCCASIO||noun|||||||||fem|||sing|||||||||g||p|v
achevee|achever|CAPUT||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
achever|achever|CAPUT||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
achevé|achever|CAPUT||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
achilles|Achille|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
acier|acier|ACIARIUM||noun||||||acc|||masc|||sing|||||||||g||p|v
acoilli|acoillir|*ACCOLLIGERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
acollee|acoler|COLLUM||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
aconpaignier|acompagnier|COMPANIO||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
