FORMA|LEMMA|ETIMO|LANG|POS|FUNCT|MSD|SIGLE
cestui|cest|ISTE||DET||Dem,Masc,Sing,Nom
livre|livre2|LIBER2||NOUN||Masc,Sing,Nom
paroule|parler|PARABOLARE||VERB||Fin,Ind,Pres,Intr,3,Sing
dou|de|DE||ADP||PrepArt
siege|siege|SEDICARE||NOUN||Masc,Sing,Acc
et|et|ET||CCONJ||
de_la|de|DE||ADP||PrepArt
destrucion|destructïon|DESTRUERE||NOUN||Fem,Sing
de|de|DE||ADP||
troie|Troie|||PROPN||Fem,Sing
et|et|ET||CCONJ||
por_qoi|por2|PRO/QUID||ADV||Int
troie|Troie|||PROPN||Fem,Sing
fu|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Sing,MWEs
destrute|destruire|DESTRUERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
et|et|ET||CCONJ||
issillee|essillier|EXILIARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
.||||||
salemon|Salomon|||PROPN||Masc,Sing,Nom
lu|le|ILLE||DET||ArtDef,Masc,Sing
trè_sage|sage|SAPIDUS||ADJ||Masc,Sing,Nom,Abs
nos|nos|NOS||PRON||Prs,1,Plur,Acc
enseigne|enseignier|*INSIGNARE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
e|et|ET||CCONJ||
amonest|amonester|*ADMONESTARE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
en|en1|IN||ADP||
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
livre|livre2|LIBER2||NOUN||Masc,Sing,Acc
qe|queque|QUID||SCONJ||
l_en|on|HOMO||PRON||Prs,3,Sing,Nom
ne|ne1|NON||ADV||Neg
doit|devoir|DEBERE||VERB|auxMod|Fin,Ind,Pres,3,Sing
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
sen|sens|SENSUS||NOUN||Masc,Sing,Acc
ni|ne2|NEC||CCONJ||
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
savoir|savoir|SAPERE||VERB|Noun|Ind,Inf,Pres
celer|celer|CELARE||VERB||Ind,Inf,Pres,Act,Trans
ainc|ainz|ANTE||ADV||
doit|devoir|DEBERE||VERB|auxMod|Fin,Ind,Pres,3,Sing
aprendre|aprendre|APPREHENDERE||VERB||Ind,Inf,Pres,Act,Trans
et|et|ET||CCONJ||
ensegner|enseignier|*INSIGNARE||VERB||Ind,Inf,Pres,Act,Trans
as|a3|AD||ADP||PrepArt
autres|autre|ALTER||PRON||Ind,Masc,Plur,Acc
por|por2|PRO||ADP||
henor|onor|HONOS||NOUN||Masc,Sing,Acc
et|et|ET||CCONJ||
pris|prix|PRETIUM||NOUN||Masc,Sing,Acc
conquere|conquérir|CONQUIRERE||VERB||Ind,Inf,Pres,Act,Trans
et|et|ET||CCONJ||
avoir|avoir|HABERE||VERB||Ind,Inf,Pres,Act,Trans
car|car|QUARE||SCONJ||
ensi|ainsi|SIC||ADV||
firent|faire|FACERE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
les|le|ILLE||DET||ArtDef,Masc,Plur
nos|nostre|NOSTER||DET||Poss,Masc,Plur,Nom
ansesors|ancessor|ANTECESSOR||NOUN||Masc,Plur,Nom
.||||||
car|car|QUARE||SCONJ||
els_qui||||||
les|le|ILLE||DET||ArtDef,Masc,Sing
sept|set|SEPTEM||NUM||Card
ars|art|ARS||NOUN||Fem,Plur
troverent|trover|*TROPARE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
.||||||
c’|se|SI||SCONJ||
il|il|ILLE||PRON||Prs,3,Masc,Plur,Nom
se|soi|SE||PRON||Prs,3,Plur,Acc
fusent|estre1|ESSE||VERB|auxTens|Fin,Sub,Imp,3,Plur,MWEs
teü|taire|TACERE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
.||||||
les|le|ILLE||DET||ArtDef,Masc,Plur
homes|ome|HOMO||NOUN||Masc,Plur,Nom
vivroient|vivre1|VIVERE||VERB||Fin,Cnd,Pres,Intr,3,Plur
à_la|a3|AD||ADP||PrepArt
mainiere|maniere|MANUARIUS||NOUN||Fem,Sing
de|de|DE||ADP||
bestes|beste|BESTIA||NOUN||Fem,Plur
car|car|QUARE||SCONJ||
il|il|ILLE||PRON||Prs,3,Masc,Plur,Nom
ne|ne1|NON||ADV||Neg
savroient|savoir|SAPERE||VERB||Fin,Cnd,Pres,Act,Trans,3,Plur
qe|queque|QUID||DET||Int
fust|estre1|ESSE||VERB|auxCop|Fin,Ind,Past,3,Sing
senz|sens|SENSUS||NOUN||Masc,Sing,Nom
ni|ne2|NEC||CCONJ||
follie|folie2|FOLLIS||NOUN||Fem,Sing
ni|ne2|NEC||CCONJ||
ne|ne1|NON||ADV||Neg
garderoient|warder|*WARDôN||VERB||Fin,Cnd,Pres,Act,Trans,3,Plur
li|le|ILLE||DET||ArtDef,Masc,Sing
un|un|UNUS||PRON||Ind,Masc,Sing,Nom
l’|le|ILLE||DET||ArtDef,Masc,Sing
autre|autre|ALTER||PRON||Ind,Masc,Sing,Acc
por_ce_qe|por2|PRO||ADP|SConj |MWEs
raison|raison|RATIO||NOUN||Fem,Sing
ne|ne1|NON||ADV||Neg
seroit|estre1|ESSE||VERB|auxPass|Fin,Cnd,Pres,3,Sing,MWEs
entr’|entre2|INTER||ADP||
els|il|ILLE||PRON||Prs,3,Masc,Plur,Acc
conneüe|conoistre|COGNOSCERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
ni|ne2|NEC||CCONJ||
gardee|warder|*WARDôN||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
.||||||
mes|mais1|MAGIS2||CCONJ||
por_ce_q’|por2|PRO||ADP|SConj |MWEs
il|il|ILLE||PRON||Prs,3,Masc,Plur,Nom
firent|faire|FACERE||VERB|auxMod|Fin,Ind,Past,3,Plur
de|de|DE||ADP||
lor|lor3|ILLE||DET||Poss,Masc,Sing,Acc
savoir|savoir|SAPERE||VERB|Noun|Ind,Inf,Pres
aprendre|aprendre|APPREHENDERE||VERB||Ind,Inf,Pres,Act,Trans
et|et|ET||CCONJ||
enseignier|enseignier|*INSIGNARE||VERB||Ind,Inf,Pres,Act,Trans
as|a3|AD||ADP||PrepArt
autres|autre|ALTER||PRON||Ind,Masc,Plur,Acc
.||||||
seront|estre1|ESSE||VERB|auxPass|Fin,Ind,Fut,3,Plur,MWEs
il|il|ILLE||PRON||Prs,3,Masc,Plur,Nom
ramenceüs|ramentevoir|MENTE HABERE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
et|et|ET||CCONJ||
només|nomer|NOMINARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs
lonc|lonc|LONGUS||ADJ||Masc,Sing,Acc
tenz|tens|TEMPS1||NOUN||Masc,Sing,Acc
.||||||
car|car|QUARE||SCONJ||
.||||||
c’|se|SI||SCONJ||
il|il|ILLE||PRON||Prs,3,Masc,Plur,Nom
nen|non|NON||ADV||Neg
eüssent|avoir|HABERE||VERB|auxTens|Fin,Sub,Imp,3,Plur,MWEs
ensi|ainsi|SIC||ADV||
fait|faire|FACERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
.||||||
lor|lor3|ILLE||DET||Poss,Masc,Sing,Nom
savoir|savoir|SAPERE||VERB|Noun|Ind,Inf,Pres
et|et|ET||CCONJ||
lor|lor3|ILLE||DET||Poss,Fem,Sing
ensience|escïence|SCIENTIA||NOUN||Fem,Sing
seroit|estre1|ESSE||VERB|auxCop|Fin,Cnd,Pres,3,Sing
chouse|chose|CAUSA||NOUN||Fem,Sing
pardue|perdre|PERDERE||VERB|Adj|Ind,Part,Past,Sing,Fem
et|et|ET||CCONJ||
non|non|NON||ADV||Neg
porfitable|porfitable|PROFECTUS||ADJ||Fem,Sing
.||||||
et|et|ET||CCONJ||
por_ce_qe|por2|PRO||ADP|SConj |MWEs
l_en|on|HOMO||PRON||Prs,3,Sing,Nom
doit|devoir|DEBERE||VERB|auxMod|Fin,Ind,Pres,3,Sing
tou_jor||||||
aprendre|aprendre|APPREHENDERE||VERB||Ind,Inf,Pres,Act,Trans
et|et|ET||CCONJ||
enseignier|enseignier|*INSIGNARE||VERB||Ind,Inf,Pres,Act,Trans
.||||||
me|moi|ME||PRON||Prs,1,Sing,Acc
voill|voloir|VELLE||VERB|auxMod|Fin,Ind,Pres,1,Sing
ge|je|EGO||PRON||Prs,1,Sing,Nom
travaillier|travaillier|*TRIPALIARE||VERB||Ind,Inf,Pres,Act,Trans
d’|de|DE||ADP||
une|un|UNUS||DET||ArtIndef,Fem,Sing
estoire|estoire1|HISTORIA||NOUN||Fem,Sing
