FORMA|LEMMA|ETIMO|LANG|POS|FUNCT|MSD|SIGLE
coment|coment|QUOMODO||ADV||Int
li|le|ILLE||DET||ArtDef,Masc,Sing
roi|roi|REX||NOUN||Masc,Sing,Nom
pelleus|Pelleus|||PROPN||Masc,Sing,Nom
prist|prendre|PREHENDERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
haine|häine| *HATJAN||NOUN||Fem,Sing
et|et|ET||CCONJ||
fellonie|felonie|*FILLO||NOUN||Fem,Sing
contre|contre|CONTRA||ADP||
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
nevo|nevo|NEPOS||NOUN||Masc,Sing,Acc
jason|Jason|||PROPN||Masc,Sing,Acc
et|et|ET||CCONJ||
coment|coment|QUOMODO||ADV||Int
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
pensa|penser|PENSARE||VERB||Fin,Ind,Past,Intr,3,Sing
de|de|DE||ADP||
lui|lui|ILLE||PRON||Prs,3,Sing,Acc
hocire|ocire|OCCIDERE||VERB||Ind,Inf,Pres,Act,Trans
.||||||
or|or4|HORA||ADV||Tim
dit|dire|DICERE||VERB||Fin,Ind,Pres,Intr,3,Sing
li|le|ILLE||DET||ArtDef,Masc,Sing
contes|conte2|COMPUTUS||NOUN||Masc,Sing,Nom
et|et|ET||CCONJ||
la|le|ILLE||DET||ArtDef,Fem,Sing
veraie|verai|*VERACUS||ADJ||Fem,Sing
estoire|estoire1|HISTORIA||NOUN||Fem,Sing
de|de|DE||ADP||
daire|Daires|||PROPN||Masc,Sing,Acc
le|le|ILLE||PRON||Prs,3,Neut,Sing,Acc
nos|nos|NOS||PRON||Prs,1,Plur,Acc
tesmoigne|tesmoignier|TESTIMONIUM||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
qe|queque|QUID||SCONJ||
pelleus|Pelleus|||PROPN||Masc,Sing,Nom
fu|estre1|ESSE||VERB|auxCop|Fin,Ind,Past,3,Sing
un|un|UNUS||DET||ArtIndef,Masc,Sing
riche|riche|RîKI||ADJ||Masc,Sing,Nom
roi|roi|REX||NOUN||Masc,Sing,Nom
saje|sage|SAPIDUS||ADJ||Masc,Sing,Nom
et|et|ET||CCONJ||
cortois|cortois|COHORS||ADJ||Masc,Sing,Nom
et|et|ET||CCONJ||
vaillant|valoir|VALERE||VERB|Adj|Ind,Part,Pres
.||||||
celui|cel|ILLE||DET||Dem,Masc,Sing,Nom
pelleus|Pelleus|||PROPN||Masc,Sing,Nom
tenoit|tenir1|TENERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
mult|mout|MULTUS||ADV||
grant|grant|GRANDIS||ADJ||Fem,Sing
partie|partie|PARTIRE||NOUN||Fem,Sing
de|de|DE||ADP||
grese|Grèce|||PROPN||Fem,Sing
desous|desoz|SUBTUS||ADP||
sa|suen|SUUS||DET||Poss,Fem,Sing
seignorie|seignorie|SENIOR||NOUN||Fem,Sing
.||||||
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
reigne|regne|REGNUM||NOUN||Masc,Sing,Acc
tenoit|tenir1|TENERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
quitement|quitement|QUIETUS||ADV||Man
et|et|ET||CCONJ||
en|en1|IN||ADP||
pais|pais|PAX||NOUN||Fem,Sing
et|et|ET||CCONJ||
