coment|coment
paris|paris1
et|et
sa|sa
conpaignie|conpaignie
se|se1
mistrent|mistrent
en|en
mer|mer
or|or
dit|dit
li|li
contes|contes
que|que
,|,
quant|quant
paris|paris1
et|et
sa|sa
conpaignie|conpaignie
furent|furent1
en_si|en_si
atornés|atornés1
com|com
je|je
vos|vos
ai|ai1
dit|dit4
,|,
il|il1
se|se1
mistrent|mistrent
de_denz|de_denz
lor|lor5
nes|nes1
,|,
qi|qi
bien|bien4
furent|furent4
dui_mile|dui_mile
chevaliers|chevaliers2
preus|preus1
et|et
hardis|hardis1
et|et
conbatans|conbatans
.|.
li|li
roi|roi
priant|priant
lor|lor4
parla|parla
et|et
dist|dist
en_tel_mainiere|en_tel_mainiere
:|:
"|"
biauz|biauz4
seignors|seignors
,|,
fist|fist
il|il
,|,
je|je
vos|vos
pri|pri
et|et
reqier|reqier
moult|moult
doucement|doucement
,|,
tant_com|tant_com
je|je
plus|plus
puis|puis1
,|,
qe|qe3
vos|vos1
soïés|soïés
preus|preus1
et|et
ardis|ardis1
et|et
conbatans|conbatans
à|à
prendre|prendre
vengiance|vengiance
de|de
la|la
honte|honte
qe|qe1
les|les
gresois|gresois2
nos|nos1
ont|ont1
fete|fete
.|.
vos|vos1
avés|avés1
le|le
droit|droit1
devers|devers
vos|vos
et|et
il|il1
ont|ont
le|le
tort|tort
et|et
por_ce|por_ce
devés|devés
estre|estre3
plus|plus
seürs|seürs
de|de
vaincre|vaincre
vostre|vostre7
henemis|henemis
que|que
si|si
ferés|ferés
si_com|si_com
je|je
cuit|cuit1
.|.
paris|paris1
,|,
qi|qi
ensi|ensi
est|est
,|,
sera|sera3
vostre|vostre
cheveitane|cheveitane
,|,
avec|avec
lui|lui
sera|sera
deiphebus|deiphebus
et|et
heneas|heneas
et|et
polidamas|polidamas
,|,
qi|qi
bien|bien4
savront|savront1
consoillier|consoillier2
paris|paris
et|et
vos|vos
ausi|ausi
.|.
et|et
les|les
diex|diex1
vos|vos
doïnent|doïnent
tant_de|tant_de
grace|grace
qe|qe3
vos|vos1
ma|ma
suor|suor
esionan|esionan
puissiés|puissiés
avoir|avoir
,|,
de_part_diex|de_part_diex
soit|soit
.|.
et|et
se|se2
avoir|avoir
ne|ne
la|la1
poés|poés
,|,
si|si
me|me
mandés|mandés
tan_tost|tan_tost
vostre|vostre1
mesaje|mesaje1
et|et
je|je
vos|vos
en|en
promet|promet
qe|qe3
je|je
vos|vos
envoierai|envoierai
tel|tel2
secors|secors
et|et
si|si
fors|fors4
q’|q’1
il|il2
nen|nen
avra|avra2
en|en
grese|grese
si|si
fort|fort4
chastel|chastel1
ne|ne
si|si
forte|forte
cité|cité
q’|q’
il|il1
ne|ne
preignent|preignent
à|à
force|force
et|et
ne|ne
l’|l’5
abatent|abatent1
"|"
.|.
autre|autre1
parlement|parlement
ne|ne
tint|tint
li|li
roi|roi
à_cele_fois|à_cele_fois
ho|ho
els|els1
.|.
l’|l’
air|air1
estoit|estoit1
adonc|adonc
cler|cler
et|et
serin|serin
en_si_com|en_si_com
fet|fet1
en|en
mai|mai
,|,
et|et
l’|l’
ore|ore
vencoit|vencoit
adonc|adonc
doux|doux
et|et
soëf|soëf
.|.
il|il1
pristrent|pristrent
de|de
lor|lor6
amis|amis3
conjé|conjé
,|,
si|si
se|se1
partirent|partirent
dou|dou
port|port
,|,
si|si
siglerent|siglerent
vers|vers
grese|grese
à|à
voilles|voilles
ploines|ploines
,|,
